stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,165,0,0,0,0,1,1,8,0,0,1,0,2,0,0,0,0,1,0,1,1,1,0
 24-34,0,2.46,87.01,0,1.64,0.82,0.82,0,0,9.03,0,0,2.46,1.64,12.31,0.82,0,0,0,0,0,0,0.82,9.85,0
 36-46,0,0,17.72,0,0,0,0,0,0,9.67,0,0,0.81,0,7.25,0.81,0,0,0,0,0.81,0,0.81,10.47,0
 48-58,0,0,16.64,0,3.44,0,0,0,0,18.36,0,0,1.15,0,21.8,0,0.57,0,0,0,0,0,1.72,13.2,0
 60-70,0,0,6.87,0,13.74,0,0,0,0,22.58,0,0,0.98,0,17.67,0,0,0,0,0,0,0,0,12.76,0.98
 72-82,0,0,22.58,0,12.76,0.98,0.98,0,0,78.53,0.98,0,1.96,0,11.78,0,0.98,0,0,0,0,0,0,22.58,0
 84-94,0,4.25,15.93,0,9.56,0,1.06,1.06,0,80.71,0,2.12,0,0,10.62,0,0,0,0,0,0,0,0,16.99,0
 96-106,0,3.28,27.32,0,12.02,0,1.09,0,0,111.47,0,0,1.09,0,12.02,0,1.09,0,1.09,0,0,0,1.09,16.39,0
108-118,0,0.77,36.77,0.77,3.06,0,1.53,1.53,0,104.17,0.77,0,0,0.77,17.62,0,0,0,0,0,0,0,0,13.79,0
120,0,1.96,56.83,0,3.92,0,3.92,0,0,111.71,0,0,3.92,1.96,9.8,0,0,0,0,0,0,0,0,17.64,0
