stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,visceral_smooth_muscle
  3-4,13.18,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,18.39,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,3.28,0,0.82,0,0,0,0,0,0,0,0,0,0,24.63,0,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,19.34,0,0,0.81,0,0,0,7.25,0,0
 48-58,0,0,0,0,4.02,0,0.57,0,0,0,0,0,0,0.57,0,0,0,20.08,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0.98,1.96,0.98,0,0,0,0,0,0,0,0.98,0,37.3,0,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0,3.93,7.85,0,0.98,3.93,0.98,0,0,0,0.98,0,0,0,1.96,64.79,0,0,0.98,0,0,0.98,3.93,0.98,0
 84-94,0,0,0,1.06,5.31,0,2.12,2.12,0,0,0,0,0,1.06,0,1.06,0,62.66,0,0,2.12,0,0,3.19,5.31,7.43,1.06
 96-106,0,0,2.19,2.19,7.65,0,4.37,5.46,0,1.09,0,0,0,3.28,0,0,0,54.64,0,4.37,1.09,0,0,1.09,0,14.21,1.09
108-118,0,0,2.3,2.3,5.36,0,2.3,1.53,0,0,0.77,0.77,0,0.77,0.77,0,0,85.79,0.77,0.77,1.53,0,0.77,1.53,3.83,16.85,0
120,0,0,0,5.88,7.84,0,1.96,3.92,0,0,0,0,0,0,0,0,0,60.75,0,0,1.96,0,0,0,3.92,9.8,0
