stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,neural,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,15,0,0,1,5,0
 24-34,0,0,0,0,0,0,0,0,19.7,0.82,0,0.82,4.93,0.82
 36-46,0,0,0,0.81,0,0,0,1.61,22.56,0,0,0,7.25,0
 48-58,0,0,0,1.72,1.15,0,0,0,14.92,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,1.96,19.63,0,0.98,0,1.96,0
 72-82,0,0,0,3.93,1.96,0,0,0,16.69,0,0,0,1.96,0
 84-94,0,1.06,1.06,2.12,0,0,0,0,6.37,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,1.09,6.56,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0.77,7.66,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,0
