stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,3.93,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,2.19,1.09
108-118,0,0,0,0,2.3,0,0,0.77,0,0,0,1.53,0.77,0.77,0,0,0,0.77,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
