stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,21.03,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,81.49,7.89,0,0,26.29,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,37.76,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,12,0,0,0,1,0,0,3,1,2,5,0,0,0
 24-34,0,0,0,1.64,2.46,0,1.64,0,0.82,0,0.82,0,0,0.82,0,0,0,26.27,0,0,0.82,0,2.46,0,0,0,0,4.93,0,0.82,0
 36-46,0,0,0,0,4.83,0,1.61,0,0,0,0,0,0,0,2.42,0,2.42,38.67,0,0,0.81,0,0,0,0,0,0,6.45,0,1.61,0
 48-58,0,0,0,0,8.03,0,2.87,0,0,0,0,0,0,0,7.46,0,0,14.92,0,0.57,0,0,0,0,0,0,0,2.87,0,0,1.15
 60-70,0,0,0,1.96,9.82,0.98,3.93,0,0,0,0,0,0,0,4.91,0,0.98,24.54,0,0,0.98,0,0,0,0,0,0,2.94,0,1.96,0
 72-82,0,0,0,0,7.85,0,1.96,0,0,0,0,0,0.98,0,5.89,0,0,18.65,0,0,0.98,0,0.98,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,2.12,9.56,0,2.12,0,0,0,1.06,0,0,0,6.37,1.06,0,5.31,1.06,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,3.28,1.09,2.19,0,0,0,0,0,0,0,0,0,0,7.65,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0,2.3,0,0,0.77,0,0.77,0,0.77,2.3,0,2.3,13.79,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
