stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,67.43,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,8,1,0,12,0,0,3,0,0,0,0,0,0,0,1,1,1,0,1,38,1,0,21,0,0,0,4,1,4,28,1,0,0
 24-34,0,0,0,0.82,3.28,0,0,19.7,0,0,3.28,0,0,0,0,2.46,0,1.64,1.64,6.57,12.31,0,1.64,48.43,6.57,8.21,28.73,0,0,1.64,0,0,0,36.94,11.49,0,0.82
 36-46,0.81,0,0,0,0,0.81,0,25.78,0.81,0,10.47,0,0,0,0,1.61,0.81,0.81,0,13.7,9.67,0,0,47.53,4.83,8.06,17.72,0,0,1.61,0,0.81,0,57.2,4.83,0,2.42
 48-58,0,0.57,0,0,0,0,0,52.22,0,0,21.23,0,0,0,0,0,0,0.57,0,17.21,14.35,0,1.15,67.14,2.87,9.18,15.49,0,0,2.87,0,0,0,52.22,4.02,0,5.74
 60-70,0,0,0,0,0,0,0,180.6,0,0,61.84,0,0,0,0,0,0.98,1.96,0,9.82,21.59,0,0.98,138.39,0.98,15.7,8.83,0,0,0.98,0,0,0,34.35,1.96,0,2.94
 72-82,0,0,0,0,2.94,0,0,327.88,0.98,0,154.12,0.98,0,0.98,0,0,0.98,16.69,0,11.78,34.36,0,0.98,229.71,1.96,29.45,23.56,0,0,0,0,0,0,45.16,3.93,0,7.85
 84-94,0,0,0,0,7.43,1.06,0,264.45,1.06,0,83.9,2.12,0,0,1.06,0,2.12,12.74,0,18.05,25.49,1.06,1.06,123.2,2.12,16.99,22.3,0,0,6.37,0,0,0,35.05,1.06,0,10.62
 96-106,0,0,0,0,5.46,2.19,1.09,228.4,0,1.09,148.63,1.09,0,0,1.09,0,2.19,24.04,1.09,9.84,32.79,1.09,0,121.31,1.09,41.53,37.16,0,4.37,2.19,0,0,0,51.36,5.46,0,10.93
108-118,0,0,0.77,0,5.36,2.3,0,177.7,0,0,134.04,0.77,0,0,0,1.53,2.3,16.85,0,18.38,36,0.77,0.77,140.94,0.77,31.4,36,0,0,4.6,0,0,0,22.98,1.53,0.77,13.79
120,0,0,0,0,7.84,1.96,0,158.74,0,0,90.15,0,0,0,0,0,0,7.84,0,3.92,23.52,0,0,139.14,1.96,15.68,21.56,0,0,1.96,0,1.96,0,15.68,1.96,0,7.84
