stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,neural,notochord,olfactory,pericytes,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,54.18,0,0.82,0,9.03
 36-46,0,0,5.64,0,0,0.81,0,0,0,1.61,137.77,0,0,0,32.23
 48-58,0,0,41.31,0,0.57,2.3,0,0,0.57,0.57,156.07,0,0,0,30.41
 60-70,0,0,74.6,0,0,0.98,0,0,0,0,119.75,0,0,0,20.61
 72-82,0,0.98,74.61,0,0.98,1.96,0,0,0,0.98,125.65,0,0.98,0.98,14.72
 84-94,0,0,38.23,0,1.06,2.12,1.06,0,0,2.12,61.6,0,0,0,3.19
 96-106,0,0,32.79,1.09,0,1.09,0,0,0,4.37,59.01,0,0,0,1.09
108-118,0,0,16.85,0,0,2.3,0,0,0,0.77,41.36,0,0,0,0.77
120,0,1.96,9.8,0,0,3.92,0,1.96,0,1.96,27.44,1.96,0,0,0
