stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0.82,1.64,0,0,0,1.64,0
 36-46,0,0,0.81,0,0.81,0,0,1.61,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0.57,0,1.72,0,0,0,0.57,0.57,0,0.57,0.57
 60-70,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0.98,0.98,2.94,0,0,2.94,0.98,0,1.96,0,0.98,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,3.19,0,0,2.12,1.06,0,0,0,1.06
 96-106,0,1.09,1.09,0,4.37,0,1.09,1.09,0,0,1.09,0,0,0,1.09,0
108-118,0,2.3,0.77,0,0,0,0.77,3.06,0,0,1.53,0,0,0,0.77,0.77
120,0,3.92,0,0,0,0,1.96,5.88,0,0,0,0,0,1.96,0,0
