stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,3,0,1,0,0,38,0,0,0,0,0,0,2,0,0,18,3,2,0,5,0,4,7,1,4,100,0,0,1,0,0
 24-34,0,0,0.82,0,3.28,0,0,1.64,0,0,28.73,0,0,0,0,0,0.82,6.57,0,2.46,25.45,0.82,3.28,4.93,0,0.82,0,8.21,0,4.1,63.21,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0.81,0.81,16.92,0,0,0,0,1.61,0,3.22,1.61,0,31.42,0,6.45,0,0,1.61,0,4.83,0.81,0,30.62,0,0,0,0,1.61
 48-58,0,0,0,0,0.57,0,0,3.44,0,0,16.07,0,0,0,0,0.57,0,2.3,5.16,2.87,20.66,0,7.46,1.72,0,0,0,2.3,0,0,23.53,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,5.89,0,0,14.72,0,0,0,0,0,0,3.93,0.98,0.98,24.54,0,8.83,0.98,0,0.98,0,1.96,0,0,5.89,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,8.83,0,0.98,24.54,0,0,0.98,0,1.96,0.98,17.67,2.94,1.96,23.56,0,19.63,5.89,0,2.94,0,0.98,0,0,2.94,0,0,2.94,0,0
 84-94,0,0,1.06,1.06,7.43,0,0,5.31,0,1.06,7.43,3.19,0,1.06,4.25,1.06,0,18.05,5.31,2.12,11.68,1.06,26.55,11.68,0,0,0,3.19,0,0,10.62,0,0,0,2.12,0
 96-106,0,0,0,1.09,1.09,1.09,0,3.28,0,0,15.3,1.09,1.09,1.09,3.28,5.46,2.19,10.93,0,0,20.76,0,32.79,16.39,0,0,0,5.46,0,0,6.56,0,0,2.19,1.09,0
108-118,0,0,0.77,0,6.89,0,0.77,2.3,0.77,0.77,16.09,0.77,0,0,0,3.06,0.77,10.72,0.77,2.3,19.15,0.77,9.19,6.89,0,0,0,0.77,0,0,3.83,0,0.77,1.53,1.53,0.77
120,0,0,1.96,0,3.92,0,0,7.84,1.96,0,15.68,5.88,0,3.92,1.96,5.88,0,5.88,0,0,11.76,0,9.8,15.68,0,0,0,3.92,0,0,5.88,3.92,0,0,1.96,0
