stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,6,36,6,3,0,0,0,1,0,0,0,0,0,0,0,60,0,0,88,37,26,1,0,0,0,8,1,11,9,10,0,0,0,0
 24-34,0,0,0,1.64,0,4.93,0,0,1.64,0,0.82,0.82,0,0,0,0,0,19.7,0,0,18.06,36.12,0.82,0.82,0,0,0.82,0,0,6.57,0,9.03,0,1.64,0,0.82
 36-46,0,0,0,1.61,0,4.83,1.61,0.81,2.42,0,0,1.61,0,0.81,0,0.81,0,106.35,0,1.61,58.81,22.56,4.83,1.61,0,0,0,0,0,1.61,0,8.06,0.81,0.81,0,0
 48-58,0,0,0,1.15,0,10.33,0.57,0,4.59,0,0,0,0,0,0,0,0,28.12,0,0,4.59,23.53,0,0.57,0,0,0,0,0,0.57,0,5.16,0,0,0,0
 60-70,0,0,0,1.96,0,14.72,0.98,1.96,4.91,0,0,0,0,0,0,0,0,204.16,0,0,14.72,24.54,0,0,0,0,0.98,0,0,0,0,0.98,4.91,0.98,0,0
 72-82,0,0.98,0,0.98,0,9.82,0,0,2.94,0,0,0,1.96,0,0,0,0,29.45,0,0,0.98,19.63,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,7.43,0,0,1.06,0,0,0,0,0,0,0,0,18.05,0,0,4.25,9.56,0,1.06,0,0,0,0,0,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,0,8.74,5.46,1.09,4.37,0,0,1.09,0,0,0,0,1.09,28.41,1.09,1.09,0,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.36,0,3.83,0,0,5.36,0,0,0,0.77,0,0.77,0,0,33.7,0,0,6.13,13.79,0,0.77,0,0,0,0,1.53,0,0,1.53,0.77,0,0.77,0.77
120,0,0,0,5.88,1.96,9.8,0,1.96,1.96,0,0,0,0,0,0,1.96,0,9.8,0,0,0,21.56,0,5.88,0,3.92,0,0,0,0,0,0,0,1.96,0,0
