stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,2.46,0,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,3.22,0,2.42,4.03,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,150.34,1.72,0,0,1.72,0,0,0.57,0,0,0,6.89,0,0.57,28.12,0,0,0.57,0,0.57,0,0,1.72,0,0,0,0.57
 60-70,0,0,0.98,0,350.4,0,0,0.98,6.87,0,0,0,0,0,0,10.8,0.98,1.96,41.22,0.98,0,0.98,0,0,1.96,0,3.93,0,0,0,0
 72-82,0,3.93,1.96,0,336.71,0,0.98,0,7.85,0,0.98,0.98,0,0,0,22.58,0,4.91,42.21,0,0,0,0,0.98,0,0.98,2.94,1.96,1.96,0,0
 84-94,0,5.31,1.06,0,211.35,0,0,1.06,13.81,1.06,0,0,2.12,1.06,0,14.87,0,1.06,22.3,0,0,0,0,5.31,0,0,2.12,0,1.06,0,1.06
 96-106,0,2.19,2.19,0,160.65,1.09,0,0,7.65,1.09,0,0,0,0,0,7.65,1.09,2.19,21.86,0,0,0,0,2.19,0,0,1.09,1.09,0,0,0
108-118,0,1.53,2.3,0,164.68,0,0,0,8.43,0,0,0,0,0,0.77,9.96,0,0,18.38,0,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,3.92,5.88,1.96,164.62,0,0,0,5.88,0,0,0,0,0,0,5.88,0,5.88,23.52,0,3.92,0,0,0,0,0,0,1.96,1.96,0,0
