stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,3.15,0,0,0,0
 14-21,2,58,0,0,0,0,0,4,0,1,0,0,0,0,4,2,1,56,0,0,0,1,0
 24-34,2.46,12.31,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0.82,9.03,0,2.46,3.28,0,0.82,0,1.64,0.82
 36-46,0,1.61,0,0,0,0,0,0,0,2.42,0,0,0,0,10.47,0,0,0.81,0,0,0,1.61,0
 48-58,0,2.87,0,2.87,0,0,0,1.72,0,1.15,0,0,0.57,0,3.44,0,0,5.16,0,0,0.57,1.15,0
 60-70,0,0,0,15.7,0,0,0,4.91,0.98,0,0.98,0,0.98,0,2.94,0,0,0.98,0,0,0,0.98,0.98
 72-82,0,2.94,0,29.45,0,0,1.96,7.85,1.96,0,0,0,2.94,0,4.91,0,0,2.94,0,0,0,0,0
 84-94,0,3.19,0,72.22,0,0,0,11.68,1.06,1.06,0,0,0,0,1.06,0,0,1.06,0,1.06,0,1.06,0
 96-106,1.09,2.19,0,83.06,0,1.09,1.09,33.88,2.19,0,1.09,0,4.37,0,2.19,0,0,2.19,0,1.09,0,0,0
108-118,1.53,0,0.77,98.81,0.77,0,0.77,58.98,4.6,0,0.77,0,4.6,0,5.36,0,0,1.53,0,0,0,0,0.77
120,0,0,0,27.44,0,0,1.96,70.55,1.96,0,0,0,1.96,0,9.8,0,0,1.96,0,0,0,0,0
