stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,313,0,0,0,0,0,0,2,0,16,23,0,0,0,0,0,26,0,0,12,11,0,0,0,0,1,0,0,0,1,4,0,0,25,0,0
 24-34,0,0,0,0,6.57,262.67,0,3.28,0,0,0,0.82,0,0,25.45,69.77,0,0.82,0,0,0,22.16,0,0,3.28,24.63,0.82,0.82,0.82,0,0.82,0,0.82,0,0,21.34,0,0,87.01,0,2.46
 36-46,0,0,0,0,2.42,98.29,0,2.42,0,0,0,2.42,0,0,37.87,75.73,0,0,0,0,0.81,26.59,0,4.83,1.61,21.75,0.81,1.61,0,1.61,2.42,0,0.81,0,0,11.28,0,0.81,109.57,0,1.61
 48-58,0,0,0,0,0,189.36,0,9.75,0,0.57,2.3,2.87,0,0,33.85,81.48,0,0,0,1.15,1.15,45.33,0,2.87,0.57,30.41,0,0,0,1.72,0.57,0,1.72,0,0,8.03,0,0.57,135.42,0,1.15
 60-70,0,0,0,0,1.96,201.21,0,13.74,0,0.98,4.91,10.8,6.87,0,28.46,94.23,0.98,0.98,0.98,4.91,0,104.04,0,2.94,1.96,27.48,0,0,0,1.96,0,0,0,0,0,6.87,1.96,9.82,131.52,0,3.93
 72-82,0,0,0.98,1.96,13.74,261.12,0,33.38,0.98,0.98,3.93,34.36,50.06,0.98,49.08,104.06,0,1.96,0,8.83,1.96,289.59,0.98,10.8,2.94,47.12,0,0,4.91,3.93,1.96,0,1.96,0,0,10.8,4.91,9.82,264.07,2.94,2.94
 84-94,0,0,0,1.06,16.99,286.75,0,28.68,0,0,6.37,21.24,100.89,0,38.23,129.57,1.06,2.12,2.12,16.99,3.19,202.85,2.12,16.99,3.19,24.43,0,0,1.06,6.37,4.25,1.06,8.5,1.06,0,6.37,23.36,8.5,233.65,2.12,2.12
 96-106,0,0,3.28,6.56,31.69,338.78,0,42.62,1.09,4.37,8.74,33.88,196.71,0,81.96,153,1.09,6.56,7.65,18.58,4.37,265.56,4.37,30.6,8.74,59.01,3.28,0,7.65,12.02,15.3,0,5.46,0,0,8.74,27.32,17.49,326.76,13.11,5.46
108-118,0.77,0,2.3,5.36,31.4,297.19,2.3,26.04,0.77,3.06,5.36,33.7,204.51,0,34.47,119.49,0,9.19,2.3,20.68,9.19,243.58,2.3,26.81,2.3,47.49,0.77,0.77,3.06,7.66,9.19,0,6.89,0.77,0,5.36,56.68,14.55,249.7,6.13,8.43
120,0,0,0,0,25.48,288.09,0,5.88,0,1.96,0,37.24,96.03,1.96,43.12,135.23,1.96,5.88,7.84,15.68,1.96,286.13,7.84,19.6,3.92,27.44,1.96,1.96,1.96,11.76,15.68,0,0,0,0,5.88,5.88,15.68,250.85,1.96,3.92
