stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,1,0,32,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0,128.05,0,3.28,0.82,0,0,0,0,0,59.92,0,0.82,0
 36-46,0,0,0,0,1.61,4.83,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0.81,0,0,0,377.86,0.81,5.64,0.81,0,0,0,0,0,103.13,0,0,0
 48-58,0,0,0,0.57,0,27.54,0,0.57,0,3.44,0,0,0,0,0,3.44,0,0,7.46,0.57,0,2.3,476.83,0,2.87,5.74,0,0,1.15,0,0,86.64,0,1.72,0.57
 60-70,0,0,0,1.96,0.98,160.97,0,0,0,6.87,0,0.98,0,0,0,6.87,0,0,16.69,0.98,0.98,0.98,1353.52,0,1.96,13.74,0,0,0.98,0,0,146.25,0,0,0
 72-82,0,0,0.98,3.93,0.98,246.4,0.98,0.98,0.98,21.6,2.94,0.98,0,0.98,0,17.67,0,0.98,21.6,0.98,0,1.96,1265.36,0,5.89,31.41,0,0,2.94,0,0,87.37,0.98,0.98,3.93
 84-94,0,0,0,3.19,1.06,144.44,0,0,1.06,19.12,0,1.06,1.06,0,1.06,23.36,0,0,7.43,2.12,1.06,0,646.78,0,1.06,42.48,0,0,4.25,0,0,57.35,0,1.06,0
 96-106,0,0,0,7.65,4.37,125.68,0,0,0,20.76,2.19,0,2.19,0,0,40.44,0,1.09,15.3,0,0,1.09,472.11,0,1.09,57.92,0,0,1.09,0,0,20.76,0,1.09,1.09
108-118,0,0,0.77,7.66,1.53,121.02,0,1.53,0,7.66,2.3,0,2.3,1.53,0,23.74,0.77,0,7.66,0,0.77,0,804.26,0,0.77,40.6,0,0.77,0.77,0,0,18.38,0,0.77,0
120,0,0,0,9.8,1.96,78.39,0,1.96,1.96,3.92,1.96,0,3.92,0,0,19.6,0,0,23.52,0,0,0,768.24,1.96,5.88,41.16,0,1.96,3.92,0,1.96,17.64,0,0,0
