stage,epidermis,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,4.93,0.82,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,1.61,10.47,0,0.81,0,0,5.64,0
 48-58,0,0.57,0,1.15,0,0,0,6.89,0,0.57,0,0,2.3,0
 60-70,0,0,0,0,0,0,1.96,15.7,0,0.98,0,0,0.98,0
 72-82,0,0.98,0.98,0.98,0,0,0.98,8.83,0,0,0,0,0.98,0
 84-94,1.06,2.12,0,1.06,0,0,1.06,11.68,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,9.84,0,0,1.09,0,1.09,0
108-118,0,2.3,0,0,0.77,0,0.77,8.43,0,0,0,1.53,0,0.77
120,0,0,0,0,0,1.96,0,7.84,0,0,0,1.96,0,0
