stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,10.51,0,0,0,0,0,0,0,0,55.2,0,21.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,0,1,1,4,0,0
 24-34,0,0,0,0,3.28,0,0,0.82,0,0,0,0.82,0,12.31,0,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,4.03,0,11.28,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,3.44,0,0,0,0,0,0,0.57,0,9.75,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,0.98,0,0,7.85,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,3.93,0,0,0,0,0,0,4.91,0.98,5.89,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,1.06,2.12,0,0,0,1.06,0,2.12,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0,1.09,2.19,0,0,1.09,0,0,0,2.19,0
108-118,0,0,0.77,0,2.3,0.77,0,0.77,0.77,0,0,1.53,0.77,2.3,0,0,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0
