stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,105.42,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,717.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,18.4,0,0,0,31.54,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,233.96,2.63,0,0,78.86,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.88,6.29,0,0,75.53,0,3.15,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,16,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,7,48,3,1,0,1,0,6,0,9,1,1,18,34,0,0,1,0
 24-34,0,0,0.82,1.64,9.03,0.82,0,13.13,0,0.82,0,4.1,0.82,0,0.82,0.82,3.28,0.82,0.82,1.64,0,15.6,0,0,4.1,91.12,1.64,4.1,2.46,0,0,14.78,0,0,1.64,0,1.64,18.06,0,0,6.57,0
 36-46,0,0,0,0,2.42,0,0,13.7,0,0,0.81,5.64,0,0,0,0,0.81,0,0,0,0.81,19.34,0,0,7.25,62.84,0.81,0,0.81,0,0,11.28,0,0,0,0,0,23.36,0,0,7.25,1.61
 48-58,0,0,0,0,2.87,0,0,10.9,0.57,0,0.57,8.61,0,0.57,0,0,0,0,0.57,0,0,18.94,0,0.57,2.87,24.67,0.57,1.15,0.57,0,0,12.62,0,0,0,0,0,6.89,0,0,1.15,0.57
 60-70,0,0,0,0.98,3.93,0,0,6.87,0,1.96,1.96,7.85,0,0,0.98,0.98,0,0.98,0.98,0,0,30.43,0,1.96,3.93,26.5,0.98,1.96,0,0.98,0,11.78,0,0,0,0,0,4.91,0,0.98,1.96,0
 72-82,0,0,0,0,3.93,3.93,0,14.72,0.98,2.94,0.98,7.85,0,0,0,2.94,1.96,1.96,0,0,0.98,47.12,0,1.96,5.89,24.54,0,6.87,2.94,0,0,12.76,0,0,0,0,0,1.96,0.98,0,5.89,0
 84-94,0,0,1.06,0,11.68,3.19,1.06,12.74,0,3.19,0,8.5,4.25,0,0,2.12,3.19,0,0,0,0,26.55,0,2.12,4.25,12.74,2.12,1.06,2.12,0,1.06,24.43,0,0,1.06,0,0,3.19,0,2.12,3.19,0
 96-106,0,0,2.19,1.09,10.93,3.28,0,12.02,0,0,3.28,6.56,1.09,0,2.19,5.46,0,1.09,3.28,0,0,21.86,1.09,1.09,1.09,15.3,1.09,3.28,1.09,0,0,26.23,0,0,0,0,0,0,1.09,0,6.56,1.09
108-118,0,0,0,0,10.72,1.53,1.53,6.13,1.53,3.06,0.77,4.6,4.6,0,0,3.83,1.53,0,0.77,0,0,17.62,2.3,0.77,2.3,14.55,0.77,1.53,3.06,0,0.77,19.15,0,0,0.77,0,0,2.3,1.53,1.53,4.6,3.06
120,0,0,0,0,15.68,5.88,0,5.88,0,0,0,13.72,3.92,0,0,0,1.96,1.96,3.92,0,0,21.56,0,0,1.96,7.84,0,3.92,0,0,0,13.72,0,0,1.96,0,0,0,0,1.96,5.88,0
