stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,10,1,0,0,0,1,0,3,1,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,13.95,0,0,0,1.64,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,4.83,0,0,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,4.02,0,2.3,0,0,0,2.3,0,12.05,0,0,0,1.15,0,0,0,3.44,0.57,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,1.96,0,10.8,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0.98,2.94,0,0,0,2.94,0,11.78,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,7.43,0,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,1.09,1.09,0,0,2.19,0,8.74,0,0,0,0,0,0,0,1.09,0,2.19
108-118,0,0,0.77,0,0.77,0,1.53,0,0,1.53,3.83,0.77,4.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
