stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,1,0,0,0,0,0,3,0,215,277,1,0,0
 24-34,0,0,0,2.46,0,0,4.1,36.94,0,0,0.82,0,0.82,0,1.64,0.82,0,0.82,7.39,0,24.63,27.91,2.46,0,0,0,0,0.82,0,0,114.1,135.44,10.67,3.28,0
 36-46,0,0,0,0,0,0,3.22,60.43,0,0,0.81,0,0.81,0,0.81,0,0,0,4.83,0,11.28,22.56,0,0,0,0,0,0,0,0.81,50.76,4.03,4.83,3.22,0
 48-58,0,0,0,1.15,0.57,0,3.44,45.9,0,0.57,1.15,0,1.15,0,0.57,0,0,0,6.89,0,21.8,20.66,0,0.57,0,0,0,1.15,0,0.57,31.56,0,6.89,1.15,0.57
 60-70,0,0,0,2.94,0,0,8.83,53,0,0,0.98,0,0.98,0,0.98,0,0,0,6.87,0,21.59,14.72,0,0,0.98,0,0,0.98,0,0,25.52,0,0.98,0.98,1.96
 72-82,0,0,0,0,0,0,6.87,34.36,0,0,1.96,0,0.98,0,0,0,0,0,3.93,0,17.67,15.71,0,0,0,0.98,0,0,0,0.98,19.63,0,1.96,4.91,0
 84-94,0,0,0,0,0,2.12,3.19,46.73,0,0,2.12,0,1.06,0,1.06,1.06,1.06,0,5.31,0,28.68,6.37,0,0,3.19,0,0,1.06,0,0,18.05,0,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,2.19,12.02,68.85,0,0,2.19,0,0,0,0,0,1.09,1.09,5.46,1.09,25.14,22.95,1.09,0,3.28,1.09,1.09,1.09,0,0,37.16,0,2.19,5.46,0
108-118,0,0,0.77,0.77,0,21.45,7.66,58.98,0.77,2.3,1.53,0,0,0.77,1.53,0,0.77,0,10.72,0,27.57,6.89,0,0.77,2.3,0.77,0,1.53,0,0,31.4,0,2.3,3.83,0
120,0,0,0,5.88,1.96,5.88,3.92,54.87,0,1.96,1.96,0,0,0,0,0,0,0,5.88,1.96,43.12,11.76,3.92,0,3.92,0,0,0,0,0,13.72,0,0,1.96,0
