stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,49,0,2,1,1,0,0,10,0,11,19,0,0,0,0,0
 24-34,0,0,3.28,0.82,0,13.95,0,0,0,1.64,0,0,0,0,0,0,0,0,0,7.39,0,0,2.46,122.31,0.82,0.82,0,0,1.64,0,0,0.82,0.82,25.45,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,13.7,0,0,0,2.42,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,116.82,0,0.81,1.61,0,0.81,0,0,0,0,25.78,0,0,0.81,0,0
 48-58,0,0,2.3,0,0,25.25,0,0,0,6.31,0,0,0,0.57,0,0,0,0,0,6.89,0,0,2.87,80.91,0,0,0,0,1.15,0,0,0.57,0,20.66,0,0,0,0,0
 60-70,0,0,0,0,0,34.35,0,0,0,2.94,0,0,0,0,0,1.96,0,0,0,6.87,0.98,0,0,57.91,0,0.98,0,0,1.96,0,0,0,0,6.87,0,0,0.98,0,0
 72-82,0,0,0,0,0,53.99,0,0,0.98,7.85,0.98,0,0,0.98,0,0,0.98,0,0,10.8,0,0,0,61.84,0,0,1.96,0,0.98,0,0,0,0,3.93,0.98,0.98,2.94,0.98,0
 84-94,0,0,2.12,0,0,15.93,0,0,0,7.43,2.12,0,0,2.12,1.06,0,0,0,1.06,8.5,0,1.06,2.12,13.81,2.12,0,1.06,0,4.25,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,1.09,14.21,1.09,0,0,0,3.28,0,1.09,2.19,1.09,1.09,0,0,0,4.37,0,1.09,2.19,19.67,0,1.09,0,0,6.56,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0.77,0.77,0.77,10.72,0,0,0.77,6.89,1.53,0,0,0.77,0.77,0,0.77,1.53,0.77,4.6,0,1.53,0.77,21.45,0,2.3,0,0,3.83,0,0,0,0,0.77,0.77,0,1.53,0,0
120,0,0,3.92,0,0,5.88,0,3.92,0,0,0,0,0,3.92,0,0,0,0,0,5.88,1.96,0,0,31.36,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
