stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,84.97,3.15,0,0,91.26,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,45,11,2,0,0,3,0,0,0,7,0,0,0,149,0,0,507,56,12,0,2,2,0,11,57,1,3,155,17,0,0,2,0,0
 24-34,0.82,0,1.64,0.82,9.85,2.46,9.03,0,9.03,2.46,0,1.64,0,1.64,0,1.64,0.82,249.54,0,2.46,393.19,82.91,0,0.82,1.64,0,3.28,3.28,5.75,0.82,0,29.55,16.42,0,0,3.28,0,0.82
 36-46,0,0,0,0,1.61,0.81,3.22,0,4.83,0,0,1.61,0,1.61,0.81,0,0,115.21,0,7.25,182.08,26.59,0,0,0.81,0,2.42,15.31,1.61,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,5.74,1.15,0.57,0.57,0,2.3,0,0,0,0,0,72.87,0,6.31,49.35,7.46,0,0,0,0,2.3,12.05,0.57,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,0,5.89,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0,32.39,0.98,2.94,12.76,2.94,0,0,0,0,5.89,20.61,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,10.8,0,5.89,0.98,0,0.98,0,0,0,3.93,0,0,0,29.45,0,8.83,7.85,6.87,0,0,0,0,4.91,41.23,0,0,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,0,30.8,0,2.12,3.19,0,1.06,1.06,0,0,2.12,0,0,0,15.93,1.06,8.5,8.5,3.19,0,0,1.06,0,3.19,81.78,0,1.06,0,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,0,59.01,0,6.56,4.37,0,2.19,1.09,0,1.09,10.93,0,0,0,17.49,2.19,4.37,7.65,10.93,0,2.19,0,0,0,315.83,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,63.57,0,1.53,7.66,0.77,1.53,3.06,0,1.53,12.26,1.53,0.77,0,17.62,4.6,9.96,3.06,7.66,0,0,0,0,0,332.43,0,0,0,0,0,6.13,0,0.77,0,0
120,0,0,0,0,62.71,1.96,0,5.88,0,0,0,0,0,3.92,1.96,0,0,3.92,3.92,3.92,0,3.92,0,0,0,0,1.96,197.94,0,0,0,0,0,0,1.96,0,0,0
