stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,0,23.66,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,318.07,15.77,0,0,97.26,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,242.32,3.15,0,0,59.79,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,0,11,3,0,4,0,0,0,1,2,1,0,0,0,0,1,5,0,0,4,69,2,0,0,1,0,1,0,3,1,3,32,0,0,2,0,0
 24-34,0,0,2.46,0,1.64,0,0,12.31,0.82,0.82,0,2.46,2.46,0,0.82,0,3.28,0,0,10.67,0,0,1.64,162.53,1.64,5.75,1.64,0,0,4.1,0,0,0,0.82,40.22,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,25.78,0,0,0,4.83,0,0,0,0,0,0,0,10.47,0.81,0,1.61,221.56,0,4.03,0,0,0,2.42,0,0,0,0,47.53,0,0,2.42,0,0
 48-58,0,0,0,0,1.15,0.57,0,35,0.57,0.57,0,8.03,0.57,0,0,0,0,0.57,0.57,8.03,0.57,0.57,0,160.09,0.57,2.87,0.57,0,0,1.72,0,0,0.57,0,34.43,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,57.91,0,0.98,0,7.85,0.98,0,0,0.98,0,0.98,0,12.76,0,0,1.96,193.36,0,1.96,0.98,0,0,0.98,0,0,0,0,26.5,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,68.72,0,0.98,0,4.91,0.98,0,0,0,0,0,0,14.72,0,0,2.94,188.48,0,5.89,0.98,0,0,1.96,0,0,0,0,14.72,0,0,0,0,0
 84-94,0,0,2.12,0,3.19,0,0,39.3,0,0,0,13.81,1.06,0,0,0,0,1.06,0,15.93,0,1.06,1.06,75.4,0,1.06,1.06,0,0,4.25,0,0,0,0,11.68,1.06,0,3.19,2.12,1.06
 96-106,0,0,0,0,2.19,0,1.09,36.06,0,0,2.19,5.46,2.19,0,0,0,0,0,0,9.84,0,0,2.19,54.64,0,0,1.09,0,1.09,2.19,0,0,0,0,4.37,0,1.09,2.19,0,0
108-118,0,0,0.77,0,4.6,0.77,0.77,17.62,0.77,1.53,0,7.66,0.77,0,0,0,0,0.77,0,13.02,0,0,0.77,84.26,0,0,1.53,0,0,3.06,0,0,0,0,6.13,0.77,0.77,1.53,0,0
120,0,0,0,1.96,11.76,0,0,15.68,0,0,0,3.92,3.92,0,0,0,1.96,0,0,7.84,0,0,0,123.47,0,0,1.96,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0
