stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,23.66,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,25.18,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,10,5,7,0,0,0,1,1,0,0,0,0,0,0,1,24,0,0,20,74,3,1,5,3,0,5,9,0,16,104,27,0,0,0,0,0
 24-34,0,0,1.64,0,10.67,1.64,14.78,0,0.82,0,4.1,0,0,0,2.46,0,0.82,0,0,37.76,0,0,11.49,78.8,0,1.64,3.28,0,0,45.97,0,0.82,4.93,21.34,21.34,0,0,5.75,0,3.28
 36-46,0,0,0,0,1.61,0,14.5,1.61,0,0.81,5.64,0,0,0,1.61,0,0,0,1.61,53.17,1.61,0,32.23,71.7,0,0.81,0.81,0,0,45.12,0,0,2.42,0,14.5,0,0,0.81,0,3.22
 48-58,0,0,0,0,4.02,0,7.46,1.72,0,1.15,4.59,0,0,0.57,1.15,0,0,0,1.15,46.48,1.15,0,33.28,30.41,1.15,1.72,0.57,0,0.57,34.43,0,0,2.87,0,7.46,0,0,1.72,0,8.03
 60-70,0,0,0,0,3.93,0,5.89,0.98,0.98,0,0.98,0,0,0,1.96,0.98,0,0,0.98,11.78,0.98,0,8.83,16.69,0.98,0,0,0,0,65.76,0,0,0,0,2.94,0,0,0,0,9.82
 72-82,0,0,0.98,0,3.93,0,10.8,0.98,0.98,0.98,0.98,0,0,2.94,1.96,3.93,0,0,1.96,35.34,4.91,0,14.72,24.54,0,0.98,0,0,0.98,53.01,0,0,0.98,0,0.98,0.98,0.98,1.96,0.98,3.93
 84-94,0,0,1.06,0,8.5,1.06,8.5,3.19,1.06,0,3.19,1.06,1.06,1.06,2.12,10.62,0,0,3.19,32.92,4.25,1.06,12.74,10.62,1.06,1.06,0,0,0,154,0,0,1.06,0,1.06,1.06,2.12,3.19,0,5.31
 96-106,0,0,0,0,17.49,0,12.02,1.09,2.19,1.09,0,2.19,1.09,0,9.84,9.84,0,0,0,18.58,7.65,0,17.49,16.39,0,4.37,2.19,0,0,89.61,0,0,2.19,0,1.09,2.19,0,1.09,0,2.19
108-118,0,0,0,0,19.92,0.77,4.6,3.83,1.53,1.53,1.53,2.3,0,2.3,13.79,7.66,0.77,0.77,0.77,15.32,4.6,0,26.04,22.21,1.53,2.3,0.77,0,0,70.47,0,0,0.77,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,17.64,0,1.96,3.92,1.96,0,0,1.96,0,1.96,3.92,11.76,1.96,0,0,11.76,1.96,0,31.36,29.4,1.96,0,0,0,0,92.11,0,0,0,0,0,0,0,1.96,0,0
