stage,blastomeres,epidermis,eye,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,somites,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,28.32,0,6.29,3.15,0,0
 14-21,0,0,0,1,1,0,0,1,1,27,1,0,0,1,8
 24-34,0,0,0,0,0,0,0,0,0,17.24,0.82,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,2.87,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0
