stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,88.12,0,0,0,9.44,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,383,2,1,0,10,0,0,1,8,0,0,3,0,0,1,2,0,1,17,0,0,0,2,0,264,1,1,1,0,4,4,0,0,0,0,0
 24-34,0,0,1.64,0.82,376.77,0.82,2.46,0,30.37,0,1.64,0.82,4.93,0.82,0,4.93,0,0,6.57,5.75,0,9.85,40.22,0.82,2.46,0,0,0,494.98,0,0,5.75,0.82,0.82,9.85,0,0,1.64,0,0
 36-46,0,0,0,0,140.99,0,6.45,0,18.53,0.81,0,2.42,0,0,0,1.61,0,0.81,13.7,1.61,0,7.25,44.31,0.81,3.22,3.22,0,0.81,282.79,0,0,2.42,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,111.32,0.57,10.9,0,30.41,1.15,4.02,1.15,4.02,0.57,0,0,1.15,0.57,11.48,1.72,0.57,1.15,51.07,0,0.57,4.02,0,0,142.88,0,0,1.15,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,98.15,0,25.52,0,26.5,0.98,3.93,2.94,3.93,0,0,0.98,2.94,0.98,8.83,1.96,0.98,0.98,84.41,0,0.98,3.93,0,1.96,106.99,0,0,0,0,0,2.94,0.98,1.96,0,0,0
 72-82,0,0,3.93,0,110.93,1.96,70.68,0,29.45,0.98,13.74,5.89,1.96,0,0,0.98,5.89,0.98,18.65,1.96,1.96,0,158.05,0,5.89,0.98,0,0,71.66,0,0,2.94,0,0,4.91,8.83,6.87,0,2.94,0.98
 84-94,1.06,0,4.25,0,208.16,1.06,38.23,1.06,57.35,0,7.43,12.74,5.31,0,0,1.06,4.25,3.19,14.87,1.06,1.06,3.19,66.91,0,6.37,0,0,1.06,223.03,0,0,7.43,1.06,0,1.06,35.05,7.43,0,0,0
 96-106,0,0,3.28,0,208.73,1.09,54.64,1.09,38.25,0,9.84,15.3,0,0,1.09,3.28,7.65,5.46,18.58,5.46,0,1.09,77.59,0,13.11,3.28,0,1.09,174.86,0,0,7.65,0,0,1.09,72.13,0,2.19,1.09,1.09
108-118,0,0,0.77,0,222.9,0,43.66,0,48.26,0.77,6.89,16.85,0,0,2.3,3.83,3.06,6.13,36,5.36,0.77,0,82.72,0,6.13,2.3,0,0,103.41,0,0,6.13,0.77,0,2.3,86.55,0,0,0,0
120,0,0,1.96,0,170.5,0,66.63,0,27.44,0,5.88,13.72,0,0,1.96,1.96,1.96,7.84,17.64,1.96,1.96,0,154.82,0,1.96,0,0,3.92,84.27,0,0,3.92,0,0,3.92,31.36,1.96,0,0,0
