stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,10.51,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.55,7.89,0,0,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,31.47,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.43,0,0,0,125.88,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,20,6,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,127,0,1,5,14,1,51,1,1,21,22,0,0,0,0
 24-34,0,0,0.82,13.13,0,3.28,0,8.21,0,0,0,0,0,0,0,0,0,27.91,0,0,7.39,137.08,0,0,4.1,0,0,0,0,0,8.21,18.88,0,0.82,0,0
 36-46,0,0,0,1.61,0,8.86,0,12.89,5.64,0,0,0,0,0,0,0,0,41.89,0,0,6.45,118.43,0,0.81,0,0,0,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,2.3,0,40.74,0,9.18,26.97,0,0,0,0,0,0,0,0,52.79,0,0,1.15,74.02,0,0,1.15,0,0.57,0,0,0,0,10.9,0,0,0,0.57
 60-70,0,0,0,0,0,68.71,0,8.83,51.04,0,0,0,0,0,0,0,0,63.8,0,0,0.98,25.52,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,0,70.68,0,12.76,54.97,0,0.98,0,0,0,0,0,0,64.79,0,0,1.96,17.67,0.98,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,2.12,2.12,167.8,0,8.5,46.73,0,0,0,0,0,0,0,0,59.47,0,1.06,1.06,16.99,0,0,2.12,0,4.25,0,0,1.06,0,1.06,0,0,0,1.06
 96-106,0,0,0,2.19,3.28,166.11,1.09,3.28,30.6,1.09,0,2.19,1.09,1.09,0,0,1.09,49.18,0,1.09,1.09,32.79,2.19,0,0,0,5.46,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,3.83,3.83,0.77,189.19,0.77,9.96,32.17,1.53,0,1.53,0.77,2.3,0.77,2.3,0.77,44.43,0.77,0,2.3,27.57,2.3,0.77,0,0,3.06,0,0,0,0,3.06,0,0.77,0.77,3.06
120,0,0,0,1.96,0,72.51,0,5.88,23.52,1.96,0,0,0,0,0,0,0,39.2,0,0,0,25.48,0,0,5.88,0,1.96,0,0,0,0,0,1.96,1.96,0,0
