stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,69.23,0,0,0,0,47.2,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,2,11,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,10,0,12,104,2,0,1,1,0,0,1,2,5,18,68,27,0,0,1,0,1
 24-34,0,0,0,0.82,1.64,0,0,4.93,0,0,0,2.46,0.82,0,0,0,0.82,0,0,0,17.24,16.42,0,16.42,183.05,0,1.64,5.75,0,0,1.64,0,0,0,0.82,3.28,60.74,0,0,5.75,0,5.75
 36-46,0,0,0.81,0,0.81,0,0,14.5,0,0.81,0,4.83,0,0,0.81,0.81,0,0,0,0,57.2,26.59,0,6.45,497.9,0,1.61,3.22,0,0,0,0.81,0,0,0,0,108.77,0,0,0.81,0,15.31
 48-58,0,0,0,0,2.3,0,0,68.86,0,0.57,0.57,14.92,0,0,0,0,0,0,0,0.57,40.74,28.12,0,12.62,597.9,0.57,0,4.02,0,0,2.3,0,0,0,0,0,94.68,0,0,2.3,0,16.64
 60-70,0,0,0,0,1.96,0,0,295.44,0,0.98,0,15.7,0,0,0,0,0,0.98,0.98,0,20.61,54.97,0.98,8.83,1036.49,0,0,1.96,0,0.98,0,0,0,0,0,0,129.56,0,0.98,0,0,5.89
 72-82,0,0,0,0.98,9.82,1.96,0,544.82,0.98,0,1.96,55.95,0,0,0,0.98,0,1.96,0,0,32.39,63.81,0,8.83,1144.62,0.98,0,3.93,0,0.98,0.98,0,0,0,0,0,69.7,0.98,0.98,1.96,0,11.78
 84-94,0,0,0,0,12.74,0,1.06,381.27,1.06,0,1.06,31.86,0,0,0,2.12,0,4.25,1.06,0,46.73,37.17,1.06,9.56,605.36,0,0,13.81,0,0,1.06,0,0,0,0,0,42.48,0,1.06,2.12,0,10.62
 96-106,0,0,0,0,16.39,5.46,0,486.32,2.19,4.37,0,41.53,2.19,0,3.28,3.28,0,3.28,1.09,2.19,21.86,50.27,1.09,10.93,603.25,0,0,15.3,0,2.19,3.28,1.09,0,1.09,1.09,0,30.6,2.19,0,4.37,0,16.39
108-118,0,0,0,0,11.49,1.53,0.77,355.41,2.3,0,0,42.13,0.77,0,0.77,0,0,9.19,1.53,0.77,20.68,47.49,2.3,2.3,664.86,0,0.77,16.85,0,0.77,0.77,0,0,0.77,0,0,17.62,0,0.77,2.3,0.77,8.43
120,0,0,1.96,0,7.84,0,0,305.73,0,1.96,1.96,43.12,1.96,0,0,0,0,0,1.96,1.96,5.88,37.24,1.96,3.92,707.48,0,1.96,13.72,0,0,5.88,0,0,1.96,0,0,19.6,0,0,0,0,3.92
