stage,erythrocytes,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,presomitic_mesoderm,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,5.75,0.82,0,0,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,0,0,0
 48-58,0,0.57,0,0,6.31,0,0.57,0,0,1.15
 60-70,0.98,0,0,0,0.98,1.96,0,0,0,1.96
 72-82,1.96,0,0,0,19.63,0.98,0,1.96,0,0
 84-94,1.06,0,1.06,0,33.99,1.06,0,0,0,3.19
 96-106,1.09,0,0,0,27.32,4.37,0,0,0,4.37
108-118,0.77,0,0,0.77,27.57,2.3,0.77,0,0,1.53
120,3.92,0,0,0,29.4,0,0,0,0,0
