stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,3,0,0,1,1,29,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,8.21,0,0.82,0,3.28,0,0.82,0,0.82,3.28,0,0,0,0.82,0.82,1.64,0,0.82,114.1,0,4.1,4.1,0,0.82,2.46,56.64,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,29,0,0,0,1.61,0,0,0,0.81,2.42,0,0,0,0,0.81,0.81,0,0.81,194.17,0,5.64,1.61,0,0,0,63.65,0,0,0,0,3.22
 48-58,0,0,0,1.72,0,0,69.43,0,0.57,0,11.48,0,0.57,0,0,0.57,0.57,1.15,0,1.72,6.31,2.3,0,0.57,230.67,0,5.74,2.3,0,1.15,0.57,46.48,0,0,0.57,0,1.72
 60-70,0,0,0,1.96,0,0,289.55,0,0,0.98,25.52,0.98,0,0,2.94,0.98,0,3.93,0.98,0.98,6.87,0.98,0,0.98,374.94,0,7.85,10.8,0,2.94,0,53.98,0,0.98,0,0,0
 72-82,0,3.93,0.98,4.91,0,0,400.52,0,1.96,0,26.5,3.93,0.98,0.98,0.98,0.98,0.98,9.82,0.98,1.96,12.76,0,0,0.98,364.2,0,6.87,18.65,0,4.91,0,26.5,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,5.31,1.06,0,285.69,0,0,1.06,14.87,2.12,0,0,6.37,0,0,4.25,2.12,1.06,10.62,2.12,0,0,198.6,0,2.12,24.43,0,10.62,1.06,18.05,1.06,1.06,2.12,0,0
 96-106,0,5.46,0,5.46,3.28,0,229.5,1.09,1.09,0,21.86,0,0,1.09,4.37,1.09,0,22.95,1.09,0,10.93,2.19,1.09,2.19,181.41,1.09,5.46,32.79,1.09,10.93,1.09,14.21,1.09,0,2.19,2.19,1.09
108-118,0,0.77,0,3.83,0,0.77,219.83,0,0,0.77,30.64,1.53,0,0,7.66,1.53,0,13.79,0,1.53,10.72,0,0,0,233.62,0,4.6,28.34,0,6.89,1.53,6.89,0,0,0.77,0.77,0
120,0,1.96,0,3.92,3.92,0,164.62,0,0,0,19.6,5.88,0,0,9.8,1.96,0,19.6,1.96,0,7.84,0,0,0,250.85,0,5.88,23.52,0,1.96,0,7.84,0,0,0,0,0
