stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,9,0,0,1,1,0,0,1,0,8,0,0,3,44,2,0,1,3,2,4,1,0,5,24,0,0,0,0,0
 24-34,0,0,0,5.75,0,5.75,0.82,0,4.93,0,0.82,0.82,0,0.82,13.95,0.82,0,8.21,117.38,0,0,1.64,0,10.67,0,0,0,2.46,25.45,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,8.86,0.81,0,0,0,0,0,0,0,7.25,0,0,2.42,65.26,0,0.81,1.61,0,1.61,0,0.81,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,38.44,1.15,1.72,6.89,0.57,0.57,0,0,0,15.49,0.57,1.15,5.16,88.94,0,1.15,0.57,0,2.87,0,0,0,0,18.36,0,0,2.3,0,0
 60-70,0,0,0,0.98,1.96,46.13,0,0,7.85,0.98,0.98,0.98,0,0,19.63,0,0,2.94,46.13,0,0.98,1.96,0,6.87,0,0,0,0,5.89,0,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,31.41,0,0,7.85,0,0,0,0,0,17.67,0,1.96,2.94,54.97,0,0.98,0.98,0,2.94,0,0,0,0,3.93,0,0,2.94,0.98,0.98
 84-94,0,0,0,1.06,0,12.74,0,0,5.31,1.06,0,1.06,0,0,8.5,0,0,0,26.55,0,0,0,0,7.43,0,0,0,0,3.19,1.06,0,1.06,1.06,0
 96-106,0,0,0,2.19,1.09,20.76,0,1.09,9.84,1.09,0,3.28,0,0,9.84,1.09,0,1.09,15.3,0,0,0,0,3.28,0,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0.77,0,6.89,0,0,2.3,0.77,0,1.53,0,1.53,6.13,0.77,0,0.77,26.81,0,0,0,0,4.6,0,0,0.77,0,1.53,0,0,0,0,0
120,0,0,0,3.92,1.96,9.8,0,0,3.92,1.96,0,0,0,0,9.8,0,0,1.96,11.76,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0
