stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,27,3,3,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,65,22,2,0,0,0,3,0,1,0,0,2,31,0,0,0,0,0
 24-34,0,0,0,0,41.86,2.46,20.52,0,1.64,0,4.1,0,0.82,1.64,3.28,0,1.64,0,0,28.73,0,0.82,7.39,239.69,78.8,3.28,3.28,0,0,4.1,0,0,2.46,0,0,80.44,0,0,14.78,0,0
 36-46,0,0,0,0,24.98,0,46.73,0,3.22,0.81,11.28,0,0.81,1.61,4.03,0,0.81,0,4.03,31.42,0,0,4.83,321.46,58.01,5.64,4.03,0,0,0.81,0,0,1.61,0.81,0,93.46,0,0,9.67,0,0.81
 48-58,0.57,0,0,0,10.33,0,72.87,1.15,2.3,0.57,34.43,0,0.57,1.15,0,1.72,0.57,0,4.59,61.97,0,1.15,3.44,331.66,25.82,1.15,2.87,0,0,0.57,0,0,1.15,0,0,71.15,0,0,8.03,0,0
 60-70,0.98,0,0.98,0,20.61,0,151.15,1.96,9.82,1.96,45.15,0,0,1.96,0.98,0.98,0.98,0,4.91,58.89,0.98,1.96,1.96,371.02,5.89,1.96,0.98,0,0,0,0,0,0.98,0,0,65.76,0,0,9.82,1.96,0
 72-82,0,0,0,0,21.6,0,204.19,0.98,3.93,0.98,90.31,2.94,0.98,6.87,3.93,1.96,3.93,0.98,1.96,91.29,0.98,0,1.96,387.76,9.82,0.98,5.89,0,0,0.98,0,0,0.98,0,0,38.28,1.96,0.98,16.69,1.96,0
 84-94,0,0,0,0,20.18,1.06,201.79,1.06,13.81,2.12,46.73,7.43,0,12.74,8.5,4.25,4.25,0,11.68,44.61,0,0,1.06,224.09,9.56,2.12,5.31,0,1.06,3.19,0,0,6.37,0,0,20.18,3.19,0,18.05,2.12,1.06
 96-106,1.09,0,0,1.09,25.14,2.19,159.56,1.09,6.56,0,52.46,4.37,3.28,8.74,8.74,0,9.84,0,3.28,53.55,0,2.19,3.28,187.97,1.09,1.09,6.56,0,1.09,2.19,1.09,0,1.09,0,0,12.02,1.09,1.09,19.67,0,1.09
108-118,0,0,0,0,38.3,0.77,133.28,0,9.19,0,35.23,3.83,0.77,9.19,6.89,2.3,9.19,1.53,11.49,34.47,0,0.77,3.06,219.07,8.43,0.77,14.55,0,0.77,0.77,0,0,1.53,0,0,6.89,2.3,0,19.92,0.77,1.53
120,0,0,1.96,0,17.64,1.96,176.38,1.96,1.96,0,45.08,3.92,0,9.8,1.96,0,5.88,1.96,7.84,39.2,1.96,1.96,3.92,211.66,11.76,3.92,13.72,0,1.96,0,0,0,11.76,0,0,9.8,0,0,23.52,0,0
