stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,0,51,0,0,106,22,7,1,2,0,0,0,0,4,1,0,32,3,0,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,7.39,0,0.82,1.64,0.82,0,8.21,0,0,0,0,0,113.28,0,1.64,54.18,328.34,22.16,0,0,0,0.82,0.82,0,0,0,0,6.57,82.91,0,0,0,0,0
 36-46,0,0,0,1.61,1.61,14.5,0.81,0,4.83,3.22,0,11.28,0,0,0,0,0,251.37,0,27.39,77.34,667.09,12.09,0.81,0,0,2.42,0.81,0,0,0,0,0,265.07,0,2.42,1.61,0.81,0
 48-58,0,0,0,0.57,0,17.79,0,2.3,6.31,3.44,0,8.03,0,0,0,0,0.57,354.61,0.57,59.68,56.23,212.31,12.05,0,0.57,0,5.74,0,0,0,0,0.57,0,173.86,0,8.61,0.57,2.87,0.57
 60-70,0,0,0,1.96,1.96,16.69,0.98,0.98,9.82,4.91,0,3.93,0,0,0,0,0,486.83,0,95.21,59.87,53,4.91,0.98,0.98,0,19.63,1.96,0,0,0,0,0,22.58,0,52.02,0.98,34.35,0.98
 72-82,0,0,0,4.91,0,52.03,4.91,1.96,8.83,6.87,0.98,3.93,0,0,0.98,0,0,587.03,0.98,95.22,59.88,48.1,1.96,0,0.98,0,31.41,1.96,0,0,0,0,0,5.89,0,112.89,2.94,115.84,0.98
 84-94,0,0,0,9.56,3.19,75.4,5.31,0,5.31,5.31,0,3.19,4.25,0,0,1.06,1.06,357.91,0,124.26,46.73,32.92,3.19,2.12,1.06,0,21.24,1.06,0,0,0,0,0,2.12,0,107.27,2.12,125.32,1.06
 96-106,0,0,0,12.02,2.19,57.92,6.56,3.28,3.28,13.11,2.19,4.37,3.28,1.09,1.09,5.46,1.09,390.15,0,86.33,39.34,51.36,1.09,1.09,1.09,0,55.74,1.09,1.09,0,0,0,0,2.19,1.09,102.73,2.19,148.63,0
108-118,0,0,0,3.83,2.3,26.04,3.06,2.3,8.43,5.36,2.3,3.06,4.6,0,0,0.77,0,363.07,0,68.17,28.34,52.85,1.53,0,0.77,0,69.7,1.53,0,0,0,0,0,0.77,0,82.72,1.53,101.87,0
120,0,0,0,5.88,1.96,15.68,0,0,1.96,3.92,1.96,1.96,3.92,0,1.96,1.96,0,227.34,0,84.27,33.32,47.03,0,1.96,0,1.96,66.63,0,0,0,0,0,0,1.96,0,86.23,0,129.35,0
