stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,35,0,0,31,0,0,0,0,0,0,1,0,0,0,0,1,0,149,0,0,42,59,0,0,1,0,0,1,1,1,1,5,7,0,0,1,0,0
 24-34,0,0,0,33.66,4.93,0,85.37,10.67,0,0.82,1.64,0,0.82,0.82,0,0,4.93,0.82,1.64,0,491.69,0,0,144.47,142.01,3.28,4.1,1.64,0,0,14.78,0.82,0,3.28,5.75,24.63,0,0,1.64,0,0.82
 36-46,0,0,0,19.34,0,0,72.51,4.83,0.81,0.81,0.81,0,0,0.81,0,0,0.81,0.81,0,0,351.27,0,0,128.1,196.58,1.61,1.61,5.64,0,0,5.64,3.22,0,1.61,0.81,29,0,0,1.61,0,0.81
 48-58,0,0,0.57,15.49,0,0,55.66,1.72,0.57,1.15,16.07,0,0,0,0,1.15,0,0,0.57,1.15,354.61,0,3.44,82.05,203.13,0.57,1.15,6.31,0,0,2.87,0,0,1.15,0,28.69,0,0.57,1.72,0,0
 60-70,0.98,0,0,7.85,0,0,59.87,0,0,0.98,10.8,0,0,0,0,0,0,0.98,0,0,331.75,0.98,7.85,53,177.66,0,1.96,6.87,0,0.98,6.87,0,0,0.98,0,20.61,0,12.76,0,1.96,0
 72-82,0,0,0,6.87,0.98,0,62.83,0,1.96,0,12.76,0.98,0,0,0,0,0,0,0,0,390.7,0,17.67,41.23,105.04,1.96,0.98,16.69,0,0,2.94,0,0,0,0,11.78,0,28.47,0,10.8,0
 84-94,0,0,0,10.62,1.06,0,97.71,0,0,1.06,5.31,1.06,0,0,2.12,2.12,0,1.06,0,0,315.43,0,21.24,37.17,38.23,0,1.06,7.43,0,1.06,1.06,0,0,1.06,0,5.31,1.06,29.74,0,5.31,0
 96-106,0,1.09,0,13.11,2.19,0,62.29,0,2.19,0,9.84,2.19,0,0,1.09,0,0,1.09,0,1.09,262.28,0,12.02,27.32,42.62,1.09,0,10.93,0,3.28,4.37,0,1.09,1.09,0,2.19,0,24.04,0,8.74,0
108-118,0,0.77,0,16.09,0.77,0.77,74.3,0,0,0,6.89,1.53,0,0,0,3.06,0,0,0,0,275.75,0,13.79,32.94,39.83,0.77,0.77,11.49,0,2.3,1.53,0,2.3,0,0,2.3,0.77,22.98,0,8.43,0.77
120,1.96,0,0,13.72,0,0,45.08,0,0,0,5.88,5.88,0,0,0,0,0,3.92,0,0,244.97,0,29.4,19.6,31.36,1.96,0,3.92,0,9.8,1.96,0,1.96,0,0,3.92,1.96,9.8,1.96,17.64,0
