stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,4,0,0,1,0,1,0,0,0,0,1,8,0,3,44,1,0,1,0,2,3,0,4,8,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,1.64,0,0,0,0,0,0,0,0,0,0,5.75,0,1.64,43.51,0,1.64,1.64,0,2.46,0,0,0,11.49,0,0,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0,1.61,0,0,0.81,0,0,0,0,4.03,0,2.42,43.51,0.81,0,0,0,0,0,0,0,8.06,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,9.18,0,0,2.3,0,0,0,0,0,0,0,7.46,0.57,1.15,24.67,0,0,0,0,2.3,0,0,0,5.16,0,0,1.15,0
 60-70,0,0,0,0,0,0,12.76,0,0,6.87,0.98,0,0,0.98,0,0,0,7.85,0,0.98,33.37,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,10.8,0,0,0.98,0,0,0,0,0.98,0,0,4.91,1.96,2.94,31.41,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,3.19,14.87,0,0,2.12,0,0,0,0,0,0,0,2.12,0,4.25,9.56,0,0,0,0,5.31,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,8.74,1.09,0,4.37,0,0,0,0,1.09,0,0,10.93,1.09,3.28,10.93,1.09,1.09,1.09,0,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0.77,5.36,1.53,0.77,1.53,1.53,0,0,0.77,0,0.77,0,8.43,0,0,23.74,1.53,0,1.53,0,0.77,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,5.88,0,0,17.64,0,0,0,0,1.96,0,0,0,0,0,0,0,0
