stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,113,0,0,0,17,0,1,0,0,0,0,2,0,0,0,0,5,2,0,6,9,0,2,0,0,0,2,0,1,0,0,1,2,0,0,1,0,0
 24-34,0,0,0,441.62,0,0,4.93,122.31,13.95,4.1,0.82,0,0,0,0.82,0,1.64,0,0.82,49.25,8.21,0,87.01,65.67,0.82,6.57,0,0,0,31.19,0,0,0,0.82,3.28,11.49,0,0,0.82,0,0.82
 36-46,0,0,0,330.32,0,0,2.42,150.66,62.84,4.83,0,0.81,0,0,2.42,0,2.42,0,0,131.32,7.25,0.81,91.85,55.59,0,2.42,0,0,0,25.78,0,0,0,0.81,0,13.7,0,0,0.81,0,0.81
 48-58,0,0,0,401.66,0,0,22.38,199.11,79.76,8.03,0,0,0,0,0.57,0.57,2.3,0.57,4.02,147.47,5.74,0.57,59.1,68.86,0,0,0,0,0,16.64,0,0,0.57,0.57,0,12.05,0,0,0.57,0,1.15
 60-70,0,0,0.98,488.8,0,0,19.63,189.43,101.1,5.89,0.98,0,0,0,0.98,0.98,4.91,0,0.98,157.04,5.89,0.98,44.17,64.78,0,0.98,1.96,0,0.98,32.39,0,0,0.98,0,0,6.87,0,0,0.98,0,0
 72-82,0,0,0,535.99,3.93,0,35.34,201.24,164.92,12.76,1.96,0,0.98,0,2.94,0,7.85,0,2.94,241.49,10.8,0.98,49.08,53.01,0,2.94,0,0,0.98,5.89,0,0,0,0.98,0,1.96,0.98,1.96,3.93,4.91,3.93
 84-94,1.06,0,0,771.04,0,0,39.3,337.73,114.7,2.12,3.19,0,0,1.06,2.12,1.06,4.25,0,8.5,167.8,7.43,1.06,39.3,26.55,0,0,2.12,0,0,16.99,0,0,0,0,0,3.19,4.25,3.19,0,3.19,1.06
 96-106,0,0,1.09,863.35,1.09,2.19,20.76,351.9,87.43,7.65,4.37,0,1.09,1.09,3.28,1.09,6.56,0,12.02,148.63,8.74,0,21.86,54.64,0,5.46,0,0,1.09,6.56,0,0,0,0,0,1.09,2.19,0,2.19,1.09,1.09
108-118,0,0,0,634.98,1.53,1.53,15.32,391.41,78.13,4.6,3.83,0,2.3,0.77,3.06,0,3.83,0.77,12.26,137.11,3.06,1.53,14.55,30.64,0,2.3,0.77,0,0,4.6,0,0,0.77,0,0,1.53,2.3,0,1.53,0,1.53
120,0,0,0,425.27,0,0,7.84,244.97,76.43,1.96,0,0,0,1.96,0,1.96,1.96,0,0,111.71,9.8,3.92,19.6,15.68,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0
