stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,5.75,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,13.7,0.81,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0.57,0,8.03,0,0.57,0,0,0.57,0,0,0.57,0,0,0,0.57
 60-70,0,0,0.98,0.98,5.89,0,0,0,0.98,0.98,6.87,0.98,0,1.96,0,1.96,0,0,0,7.85,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,8.83,15.71,0,0,0.98,2.94,0,1.96,0,0,0,0,10.8,0.98,0.98,0,11.78,0,0,0,0,5.89,0,0,2.94,0,0,1.96,0
 84-94,0,0,0,3.19,9.56,0,0,0,5.31,0,9.56,2.12,0,0,1.06,2.12,0,0,1.06,6.37,0,1.06,2.12,0,9.56,0,0,0,1.06,1.06,0,0
 96-106,0,0,5.46,6.56,4.37,0,0,0,2.19,1.09,8.74,0,0,0,0,1.09,1.09,2.19,0,3.28,0,4.37,1.09,0,31.69,0,0,0,2.19,0,2.19,2.19
108-118,0,0,3.83,4.6,6.13,0,0.77,0,1.53,0.77,5.36,1.53,0,0,1.53,4.6,1.53,0.77,0,7.66,0.77,1.53,0.77,0,22.98,0,0,0.77,0,0,0.77,1.53
120,0,0,9.8,1.96,1.96,0,1.96,0,1.96,3.92,17.64,0,1.96,0,0,7.84,0,1.96,3.92,7.84,0,0,0,0,72.51,0,0,0,3.92,0,0,0
