stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1,0,0,1,1,1,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0.82,0.82,13.95,0.82,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0.81,2.42,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,3.22,0,21.75,0,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0.57,0,0,5.16,0,0,4.59,0,0.57,0,0,0,0.57,2.3,1.15,12.05,0.57,0.57,0,1.72,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,4.91,0,0.98,1.96,0,0,0,0,0,0,14.72,0,13.74,0,1.96,0,0.98,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,3.93,0,0,8.83,0,0,6.87,1.96,1.96,0,1.96,0,0.98,15.71,0.98,14.72,0,0,0,1.96,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,5.31,0,0,2.12,2.12,0,0,0,0,0,5.31,2.12,5.31,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,4.37,1.09,0,1.09,0,1.09,0,8.74,0,3.28,1.09,0,0,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0.77,0,0.77,5.36,0.77,1.53,5.36,1.53,0,0.77,0,0,0,9.19,0,7.66,0,0,0,1.53,0,0,0,0,0,1.53,0.77,0
120,1.96,0,0,3.92,0,0,7.84,0,1.96,3.92,1.96,0,1.96,0,0,0,11.76,3.92,15.68,1.96,0,0,0,0,1.96,0,0,0,0,0,0
