stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,84.97,3.15,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,1.64,0.82,3.28,0,0,1.64,0,0,0.82,0.82,1.64,0,1.64,0,0,0,57.46,0,1.64,0,0,1.64,20.52,0,0,0,0,0,0.82,0,0,1.64,6.57,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,2.42,3.22,0,0,0,0,0,32.23,0,2.42,0,0,0,12.09,0.81,0.81,0,0,0,0.81,0,0,0,4.83,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0.57,4.02,0,0,0,0,0,27.54,0.57,0.57,0,0,0,11.48,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0
 60-70,0,1.96,0,0.98,0.98,0,1.96,0,0,0,0,18.65,0,0,0,0,0,40.24,0,0.98,0,0,0,13.74,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,11.78,0,0,0.98,0,5.89,0,0,0.98,1.96,101.11,0,0,0,0,0.98,130.56,0,4.91,0,0,0,37.3,0,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0.98,1.96
 84-94,0,0,0,2.12,1.06,1.06,6.37,0,0,1.06,1.06,207.1,0,0,0,1.06,1.06,374.9,0,5.31,0,0,2.12,25.49,0,1.06,0,0,0,5.31,0,0,0,0,0,0,1.06,0,0
 96-106,0,10.93,0,3.28,7.65,0,22.95,0,1.09,2.19,2.19,359.55,0,0,3.28,0,0,679.75,0,17.49,1.09,1.09,2.19,143.16,0,2.19,2.19,0,1.09,9.84,1.09,1.09,0,0,0,0,1.09,3.28,0
108-118,0,6.13,0,9.19,1.53,0,12.26,0.77,0.77,0.77,6.89,423.58,0,0.77,3.06,0,1.53,1283.75,0.77,14.55,0.77,0,2.3,122.55,0.77,0,0.77,0,0.77,13.02,0.77,0.77,0,0,0.77,0.77,2.3,0,0
120,0,3.92,0,0,1.96,0,5.88,0,1.96,0,7.84,317.49,0,0,0,0,1.96,599.69,0,5.88,0,0,0,78.39,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0
