stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,513.94,9870.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,753.95,7202.32,0,12.26,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,214.54,18.39,0,0,61.3,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,49.95,0,254.99,0,0,233.96,0,0,0,0,0,115.66,0,0,0,0,0,0,0,0,0,0,2181.83,160.35,0,0,943.71,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,88.12,0,6.29,182.52,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,755.27,62.94,0,0,450.02,0,3.15,6.29,0,40.91,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,47,11,19,0,2,0,9,1,0,0,0,1,0,0,0,27,0,0,19,310,10,0,5,24,0,2,1,48,4,1,40,102,0,0,1,0,0
 24-34,0,0,0.82,2.46,23.8,0.82,23.8,0,0.82,0,4.1,1.64,0,1.64,0,0.82,0,0,0,47.61,0.82,0,14.78,350.51,2.46,2.46,3.28,0,0,7.39,0,0,1.64,0.82,9.03,103.43,0,0,7.39,0,0
 36-46,0,0,0,0,9.67,0,64.45,0,0.81,1.61,4.03,0,0,0.81,0,0,0,1.61,0,47.53,0,0.81,12.89,257.81,3.22,2.42,4.83,0,0.81,9.67,0,0,0,0,0,68.48,0,0,5.64,0,0.81
 48-58,0,0,0,0,1.72,0,42.46,0.57,0,4.02,7.46,0,0,0.57,0,0,0,1.72,0.57,30.99,0,0.57,3.44,114.76,0.57,0.57,1.72,0,0,5.16,0,0,0,0,0,22.95,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,43.19,0,1.96,0.98,15.7,0,0,0,0,0.98,0,0,0,53.98,0,0,1.96,124.65,0.98,1.96,1.96,0,0.98,1.96,0,0,0,0,0,26.5,0,0,3.93,0.98,0
 72-82,0,0,0,0,0.98,0,30.43,0,0,0.98,14.72,0.98,0,0.98,0,0,0,1.96,0,60.86,0,2.94,4.91,79.51,0,0,1.96,0,0,0.98,0,0,0,0,0,12.76,0,0.98,0.98,0,0
 84-94,0,0,0,0,3.19,0,27.61,0,0,1.06,6.37,0,0,1.06,1.06,0,1.06,0,0,45.67,0,3.19,7.43,48.85,1.06,1.06,1.06,0,1.06,5.31,0,0,0,0,0,14.87,0,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,0,12.02,0,0,1.09,16.39,0,0,0,0,0,0,0,0,32.79,0,1.09,3.28,46.99,0,1.09,2.19,0,0,2.19,0,0,1.09,0,0,3.28,0,2.19,4.37,0,2.19
108-118,0,0,0.77,0,3.83,0,9.19,0.77,0.77,0.77,7.66,0,0,0,0,0,0,0,0.77,26.81,0,0.77,3.83,52.09,1.53,0,2.3,0,0,4.6,0,0,0,0,0,2.3,0,0.77,0,1.53,0
120,0,0,0,0,1.96,0,19.6,0,1.96,3.92,5.88,0,0,0,1.96,0,0,0,0,5.88,0,0,5.88,52.91,0,0,3.92,0,0,5.88,0,0,0,0,0,1.96,1.96,0,5.88,0,0
