stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,2.46,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,4.03,0.81,0.81,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,1.72,1.15,1.72,0.57,0,0,0,1.15,0,0,0,0,0.57,0,0.57
 60-70,0,0,1.96,0.98,1.96,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,3.93,0,0.98,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,4.25,1.06,3.19,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,2.19,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.06,0,1.53,0,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,15.68,0,3.92,0,0,0,0,3.92,0,3.92,0,0,0,0,0
