stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,2249.58,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,91.94,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,144.58,254.99,0,7.89,0,107.78,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,4629.16,26.29,0,0,323.33,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,229.73,138.47,0,31.47,0,22.03,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,5941.48,245.46,0,0,286.37,0,0,6.29,3.15,25.18,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,2,66,6,0,13,0,0,0,108,0,2,0,0,0,0,0,0,15,0,20,3001,306,0,41,2,0,2,0,5,25,0,17,1083,0,0,0,0,0
 24-34,0,0,0,7.39,0.82,0,4.1,0,1.64,0,69.77,0,1.64,0,0,1.64,0,0,0,17.24,0,6.57,1822.3,26.27,0.82,22.98,0,0,2.46,0,0,0,0.82,1.64,477.74,0,0,2.46,0,0
 36-46,0,0,0,0.81,1.61,0,8.06,0,0,0.81,79.76,0,0,0,0,0.81,0.81,0,0.81,35.45,0,0,1070.73,3.22,0,4.03,0,0.81,1.61,0,0,0,0,0,223.98,0,0,1.61,0,0
 48-58,0.57,0,0,8.03,0.57,0,29.84,0,0,0,111.32,0,0,0,0.57,0,1.15,1.72,0,111.32,0,3.44,790.7,0.57,0.57,4.59,0,1.15,1.15,0,0,0,0,0,106.15,0,0,1.15,0,0.57
 60-70,0,0,0,3.93,0,0,20.61,0,0.98,0.98,75.58,0,0,0.98,4.91,0,0,0,0,144.28,2.94,0.98,520.21,1.96,0,3.93,0,0.98,2.94,0,0,0,0,0,41.22,0,0.98,0,1.96,0
 72-82,0,0,0,11.78,4.91,0,49.08,0,0.98,0.98,119.76,0.98,0,0,14.72,0,0,0,0,205.17,0.98,4.91,495.74,0,0,8.83,0,0,0,0,0,0,0.98,0,25.52,0,0,0.98,8.83,0
 84-94,0,0,0,7.43,0,0,39.3,0,1.06,0,54.16,0,0,0,23.36,1.06,2.12,1.06,0,112.58,0,2.12,275.07,1.06,0,4.25,0,0,1.06,0,0,1.06,0,0,19.12,0,1.06,2.12,5.31,0
 96-106,0,0,0,18.58,2.19,0,31.69,0,1.09,0,59.01,0,0,1.09,24.04,0,0,2.19,0,108.19,0,1.09,195.62,1.09,1.09,8.74,0,1.09,1.09,0,0,0,0,0,4.37,1.09,1.09,1.09,7.65,0
108-118,0,0,0,3.83,0.77,0.77,14.55,0.77,0,0,29.87,0.77,0,0,15.32,0,0.77,0,0,81.19,0,1.53,232.85,0.77,0,11.49,0,0,0.77,0,0,0,0,0,6.13,0,0.77,0,3.06,0
120,0,0,0,13.72,1.96,0,19.6,1.96,0,0,43.12,1.96,0,3.92,11.76,0,1.96,0,0,86.23,1.96,0,237.13,1.96,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
