stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,1.64,5.75,0,1.64,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,13.7,0,1.61,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0.57,0,0.57,2.87,0,0,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0,0,0,8.83,0,0,0,0,0,0.98,0,0.98,0,8.83,0.98,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0.98,0,26.5,0,0.98,0,0,0,0,0,2.94,0,16.69,0,0,0.98,0,0.98,22.58,0,0,0.98,0,0
 84-94,0,0,0,0,0,14.87,0,0,0,0,0,0,2.12,1.06,0,11.68,0,0,0,0,0,41.42,0,2.12,0,0,0
 96-106,0,0,1.09,0,1.09,18.58,0,1.09,0,0,2.19,0,0,1.09,0,5.46,0,0,2.19,0,1.09,51.36,0,0,0,0,0
108-118,0,0,1.53,0.77,0,11.49,0.77,0,2.3,0.77,0,0.77,1.53,0.77,0,17.62,0,0,0,0,2.3,37.53,0,0.77,0,0,0.77
120,0,0,0,0,0,13.72,0,0,0,0,0,0,1.96,1.96,1.96,21.56,0,0,1.96,0,1.96,35.28,0,0,0,1.96,0
