stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1884.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,91.94,1544.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,79.69,0,0,0,0,0,0,0,0,0
  7-9,15.77,10.51,0,13.14,0,0,0,7.89,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,202.41,7.89,0,0,73.6,0,68.35,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,22.03,0,40.91,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,10,0,0,0,0,0,0,0,2,4,0,12,0,0,0,0,0,0,1,13,0,2,6,0,0,214,1,0,1,1,4,0,0,0,0
 24-34,0,0,0,3.28,5.75,0,0,6.57,0,1.64,0,0,1.64,2.46,1.64,35.3,1.64,0.82,0.82,1.64,9.03,0,0.82,44.33,0,21.34,2.46,0,0,435.87,0,0,3.28,0,3.28,0,0.82,0,0
 36-46,0,0,0,0,7.25,0,0,1.61,0,0.81,0,0.81,0,0.81,0,8.86,0.81,0,0,2.42,5.64,0,0.81,31.42,0,29,2.42,0,0,324.68,0.81,0,2.42,0,5.64,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,9.75,0,0.57,0,2.87,0,0.57,0,10.33,2.87,0,0,3.44,5.74,0,0,26.97,0,16.07,2.87,0,0,290.35,0,0,0.57,0,3.44,0,0,0,0
 60-70,0,0,0,0,14.72,0,0,5.89,0.98,8.83,0,12.76,3.93,0,0.98,8.83,0,0,0,4.91,7.85,0,0,11.78,0,21.59,6.87,0,0.98,293.48,0,0.98,0.98,0,3.93,3.93,0,0,0.98
 72-82,0,0,0,0,32.39,2.94,0,5.89,0,0.98,0,22.58,10.8,1.96,2.94,35.34,1.96,0,0,5.89,9.82,0.98,0,30.43,0,29.45,12.76,0,0,269.96,0,0,0,0,1.96,8.83,3.93,0,0.98
 84-94,0,0,0,0,56.29,0,0,3.19,0,13.81,0,20.18,25.49,2.12,5.31,50.98,8.5,0,0,4.25,14.87,0,0,16.99,0,31.86,13.81,0,0,608.55,0,0,1.06,0,1.06,15.93,2.12,0,0
 96-106,0,0,1.09,0,88.52,0,1.09,7.65,0,5.46,0,20.76,25.14,1.09,9.84,65.57,6.56,0,0,5.46,12.02,1.09,0,26.23,0,66.66,27.32,0,0,489.6,0,0,1.09,0,1.09,29.51,1.09,1.09,0
108-118,0,0,0.77,0,82.72,0,0,5.36,0,9.19,0.77,22.21,29.87,0,4.6,53.62,9.19,0,0,2.3,16.09,0.77,0,14.55,0,22.21,23.74,0,0.77,376.85,0,0,3.83,0,0.77,30.64,2.3,0,0
120,0,0,0,0,50.95,0,0,19.6,0,5.88,0,27.44,15.68,0,5.88,19.6,7.84,1.96,0,3.92,11.76,1.96,1.96,15.68,0,33.32,15.68,0,0,237.13,0,0,0,0,1.96,19.6,0,0,0
