stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,2,1,1,0,0,0
 24-34,0,0,4.93,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,4.1,0.82,0.82,0,7.39,0,0,0.82,0,5.75,0.82
 36-46,0,0,3.22,0,3.22,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,10.47,0.81,0,0,9.67,0,0,0,0,1.61,0
 48-58,0,0,3.44,0,2.3,0,0.57,0.57,0,0,0,0,0,0.57,0.57,2.3,0,0,4.02,0,0.57,0,5.74,0,0,0,0,0.57,0
 60-70,0,0,4.91,0,5.89,0.98,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0,0.98,7.85,0,0,0,7.85,0,0,0.98,0,3.93,0
 72-82,0,0,3.93,0,0.98,2.94,0,1.96,0,0,0,1.96,0,0,0,2.94,0,0,2.94,0,0,0,7.85,0,0,0,0,1.96,0
 84-94,0,0,2.12,0,3.19,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,0,24.43,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,1.09,1.09,0,0,1.09,2.19,0,1.09,0,0,0,15.3,0,0,0,0,0,0
108-118,0,0,3.06,0.77,0,0.77,0,0,0,0,0,0.77,0,0,0,1.53,0,0,1.53,0,0,0,11.49,0,0,0,0,0.77,0
120,0,0,11.76,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,9.8,0,0,0,0,0,0
