stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,20,0,2,0,0,0,1,1,21,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0.82,0,0,0,0,0,0,2.46,0,0,2.46,119.02,0,0,0,0,0.82,0,0.82,40.22,0,0,4.1,0,1.64
 36-46,0,0,0,16.11,0,0.81,0,3.22,1.61,0,0,0,3.22,0,0,1.61,252.98,4.03,1.61,0,0,0,0,0,63.65,0,0,0.81,0,0
 48-58,0,0,0,57.95,0,0,0,9.75,0,0.57,0,0,6.31,0,0,1.72,270.84,0,0,0,0,0,0,0,53.36,0,0,0.57,0,1.72
 60-70,0,2.94,0.98,187.47,0,0,0.98,9.82,0.98,0,0.98,0,19.63,0.98,0,1.96,303.29,0,0.98,0,0,0,0,0,31.41,0,0.98,0,0,0.98
 72-82,0,2.94,0,216.95,0.98,0.98,0.98,16.69,0,0,0,1.96,14.72,0,2.94,5.89,350.45,1.96,0,0,0,0,0,0,23.56,0.98,0.98,2.94,0,0
 84-94,0,1.06,0,135.94,1.06,1.06,0,12.74,0,4.25,0,0,6.37,0,0,3.19,167.8,0,0,0,0,0,0,0,24.43,1.06,1.06,5.31,0,1.06
 96-106,0,2.19,0,85.24,0,1.09,1.09,15.3,1.09,1.09,0,1.09,13.11,0,3.28,4.37,132.23,1.09,0,1.09,0,0,0,0,4.37,0,0,1.09,1.09,0
108-118,0.77,4.6,0,71.23,0,0,0.77,6.89,1.53,3.06,0,0,13.02,0,0,1.53,164.68,1.53,0,0,0.77,0,0,0,3.06,0.77,1.53,2.3,0.77,1.53
120,0,1.96,0,37.24,0,0,0,5.88,0,1.96,0,0,1.96,0,1.96,3.92,74.47,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96
