stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,53.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,0,0,0,0,4,2,16,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,9.03,0,4.1,4.1,0.82,0,0,0,0,0,0,0,1.64,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0,0.81,0,0,0,8.06,0.81,4.03,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,7.46,0.57,1.72,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,22.58,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,3.93,0,0,0,1.96,0,0.98,1.96,0,0,0,0.98,0,63.81,0.98,0.98,4.91,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,5.31,0,0,0,2.12,0,1.06,1.06,0,1.06,0,2.12,0,24.43,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,5.46,0,1.09,1.09,3.28,1.09,0,56.83,1.09,0,0,2.19,2.19,36.06,0,1.09,8.74,0,0,0,1.09,0,0,0,0,0,0,2.19,2.19,0
108-118,0,6.89,0,0,0,0.77,0,0.77,146.3,0,0,0,2.3,2.3,38.3,0,0,4.6,0,0,0,0,0.77,0,0,0,0,0,1.53,0,0
120,0,1.96,0,0,3.92,1.96,0,0,156.78,0,0,1.96,1.96,3.92,17.64,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0
