stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,6.13,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,57.83,0,10.51,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,56.65,0,12.59,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,1,3
 24-34,0,0.82,0.82,0,0.82,0,0,0,1.64,0,0.82,10.67,0,0,0,0,0.82
 36-46,0,0,0.81,2.42,0.81,0,0,0,2.42,0,0,11.28,0,0,0.81,0,2.42
 48-58,0,0,0,2.3,0.57,0.57,0,0,0,0.57,0.57,8.03,0.57,0,0,0,1.15
 60-70,0,0,0,4.91,0,0,0,0,0.98,0,0,9.82,0,0,0.98,0,1.96
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,2.12,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
