stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,73.56,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,30.65,0,0,0,0,0,0,0
  7-9,10.51,0,10.51,0,0,2.63,0,0,5.26,0,0,0,0,7.89,5.26,0,57.83,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,44.06,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,0,0,2,1,4,6,1,0,1,3,94,1,3,18,4,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,10.67,0,0,0,0.82,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
