stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,10.51,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,126.18,5.26,0,0,55.2,0,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,151.05,9.44,0,0,44.06,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,28,0,0,0,1,0,0,0,3,0,6,10,0,0,0
 24-34,0,0,0,2.46,0,4.93,0.82,0,0.82,0,0,0,0,0.82,0,0,0,7.39,0,1.64,66.49,0,0.82,0.82,0,0,2.46,0,0,0,2.46,18.06,1.64,0,0
 36-46,0,0,0,1.61,0,4.83,0,0,0.81,0,0,0,0,0.81,0,0,0,8.86,0,5.64,74.93,0,0.81,0,0,0,3.22,0,0,0,0,14.5,0,0,0.81
 48-58,0,0,0,0,0,13.2,0,0.57,3.44,0.57,0,0,0,0,0,0,0,10.33,0,2.3,48.77,0.57,1.72,0,0,0,1.15,0,0,0,0,16.64,0,0,0
 60-70,0,0,0,0,0,27.48,0,0,0.98,0,0,0,0,0,0,0,0,7.85,0,0,71.65,0,0,0,0,0,1.96,0,0,0,0,10.8,0,0,0.98
 72-82,0,0,0,0.98,3.93,19.63,0,0,4.91,0,0,0,0,0,0,0,0,16.69,0,0,60.86,0,3.93,0,0,0,0,0,0,0,0,5.89,0,0.98,0
 84-94,0,0,0,3.19,5.31,14.87,0,2.12,6.37,0,0,0,1.06,0,0,0,0,11.68,1.06,2.12,36.11,0,1.06,1.06,0,0,3.19,0,0,0,0,5.31,1.06,1.06,0
 96-106,0,0,0,3.28,3.28,12.02,0,1.09,6.56,1.09,0,1.09,1.09,0,0,0,0,9.84,2.19,1.09,26.23,0,1.09,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,2.3,0.77,16.85,0,1.53,5.36,1.53,0,0,0,0.77,0.77,0.77,0,9.96,0,1.53,55.92,0,0,0.77,0,0.77,0.77,0,0,0,0,3.06,0.77,0,0
120,0,0,0,3.92,5.88,7.84,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,33.32,0,0,1.96,0,0,5.88,0,0,1.96,0,1.96,0,0,0
