stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,19.34,0,0.81,0,0,0,0,0.81,1.61,0
 48-58,0,0,0.57,1.15,0.57,0,0,0,0,0,2.3,0,0.57,29.84,0,1.15,0,0,0,0,0.57,2.87,0
 60-70,0,0,0,7.85,2.94,0,0.98,0.98,0,0,1.96,0,0.98,49.08,0.98,2.94,0,0,0,0,3.93,4.91,0
 72-82,0,0,0.98,30.43,11.78,0,3.93,0,0,0,7.85,2.94,0.98,61.84,0,1.96,0,1.96,0,0,0.98,11.78,0
 84-94,0,0,0,8.5,8.5,2.12,6.37,0,0,0,6.37,0,1.06,25.49,0,2.12,0,0,1.06,0,1.06,8.5,0
 96-106,0,0,0,12.02,12.02,1.09,8.74,0,0,0,9.84,0,2.19,16.39,0,4.37,0,4.37,0,0,2.19,6.56,1.09
108-118,0,0,0,9.96,13.02,3.83,8.43,0.77,0.77,0.77,6.89,0,1.53,21.45,0,3.83,0.77,0.77,0,0,0.77,6.13,0
120,1.96,0,0,9.8,7.84,1.96,11.76,0,0,0,5.88,0,0,35.28,1.96,1.96,0,3.92,0,0,0,1.96,0
