stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,1,0,2,9,3,0,0,10,0,0,0
 24-34,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,45.15,0.82,0.82,0,10.67,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0.81,0,0,81.37,0.81,0,1.61,13.7,0,0,0
 48-58,0,0,0,0,6.89,0,0,0,1.72,0,1.15,83.2,0,0,0,9.75,0.57,0,0.57
 60-70,0,0.98,0,0.98,24.54,1.96,0,0,3.93,0.98,0.98,234.58,0.98,0,0,23.56,0,0,0
 72-82,0,0.98,0,0,54.97,3.93,0,0,5.89,1.96,0,255.23,0,0,0.98,14.72,0,0,0
 84-94,0,0,1.06,0,30.8,2.12,1.06,2.12,3.19,1.06,0,107.27,0,0,1.06,4.25,0,0,0
 96-106,0,0,0,0,44.81,8.74,0,1.09,4.37,2.19,0,89.61,0,0,0,6.56,0,0,0
108-118,0,0,3.06,0,36.77,4.6,0,0,3.06,2.3,0,105.7,0,0,0,2.3,0,1.53,0
120,0,0,1.96,0,27.44,7.84,0,0,1.96,3.92,0,119.55,0,0,0,9.8,0,0,0
