stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,5,49,0,0,0,0,0,1,1,0,0,20,11,0,0,22,0,0
 24-34,0,0,0.82,1.64,3.28,2.46,4.93,0,0,0,0.82,0,0.82,2.46,0,0,0,0,0,1.64,10.67,0,4.93,218.35,1.64,4.93,2.46,0,0,0,0,1.64,0,3.28,36.12,0,0,91.12,0,1.64
 36-46,0,0,0,0,4.03,0,11.28,0.81,0.81,0.81,21.75,0,0,0.81,0,0,0,0,0,0,12.89,0,1.61,320.66,0.81,4.03,1.61,0,0,1.61,0,0,1.61,0,34.64,0,0,55.59,0,4.03
 48-58,0,0,0,0,3.44,0.57,31.56,0.57,0,1.15,49.92,0,0,1.15,1.15,0,0,0,0.57,1.72,22.38,0.57,1.72,337.97,0,4.02,0,0,0,1.72,0,0,0,0,28.69,0,0.57,49.35,0,1.15
 60-70,0,0,0.98,0,6.87,0.98,124.65,0,1.96,1.96,52.02,0,0,0,0,0,0,0.98,0,0,29.45,0,2.94,527.08,1.96,3.93,4.91,0,0,0,0,0.98,0,0,42.21,0,0,19.63,0,0
 72-82,0,0,0,0,7.85,0.98,293.52,0,0.98,2.94,127.62,0.98,0,1.96,0.98,0.98,2.94,2.94,0,0.98,64.79,1.96,5.89,764.71,0,8.83,6.87,0,0,3.93,0,0,0,0,30.43,0,2.94,48.1,0,1.96
 84-94,0,0,0,0,16.99,4.25,190.1,0,0,5.31,110.45,0,0,1.06,5.31,0,2.12,1.06,2.12,1.06,48.85,5.31,2.12,436.5,0,2.12,4.25,0,0,1.06,0,0,0,0,21.24,0,1.06,45.67,1.06,0
 96-106,0,0,2.19,0,13.11,2.19,229.5,0,1.09,1.09,109.28,2.19,0,0,5.46,0,2.19,5.46,1.09,3.28,59.01,3.28,1.09,375.94,1.09,9.84,9.84,0,1.09,3.28,0,0,1.09,0,8.74,1.09,1.09,56.83,2.19,1.09
108-118,0,0,0.77,0,9.96,1.53,189.19,0,3.06,1.53,117.96,2.3,0,0,3.06,0.77,3.83,3.83,0.77,1.53,39.83,0.77,4.6,449.62,0.77,4.6,7.66,0,0.77,1.53,0,0,0.77,0,9.96,0.77,0.77,43.66,1.53,0.77
120,0,0,0,0,27.44,1.96,154.82,0,0,0,139.14,0,0,1.96,1.96,0,0,11.76,0,1.96,37.24,1.96,1.96,482.11,3.92,9.8,11.76,0,0,3.92,0,3.92,0,0,15.68,0,1.96,35.28,3.92,0
