stage,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,1,0,0,0,0,0,1,3,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,4.03,0,0,0,0.81,1.61,9.67,0,0,0,4.03,0
 48-58,0,1.72,0.57,0,0.57,0,0,2.87,0,0,0,0,0
 60-70,0,2.94,0.98,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,2.94,0.98,0,0,2.94,0,0.98,0,0,0,0.98,0
 84-94,0,2.12,1.06,0,0,1.06,0,3.19,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09
108-118,2.3,0,0,0,0,0,0,1.53,0,2.3,0,0,0
120,3.92,0,0,0,0,1.96,0,3.92,0,0,0,0,0
