stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0
 24-34,0,87.01,0,10.67,0,0,0,0.82,0,0,0,2.46,0.82,0,0.82,11.49,0,0,0,0,0,0.82,0,9.85,0,0
 36-46,0,34.64,0,11.28,0,0,0,0,0,0,0,2.42,0,0,2.42,13.7,0,0,0,0,0,0,0,8.06,0,0
 48-58,0,31.56,1.72,17.79,0,1.15,0,0,0,0,0,2.3,0,0,1.15,12.05,0,0,0,0,0,0.57,0,5.74,0,0.57
 60-70,0,38.28,0.98,8.83,0,0,0,0,0,0.98,0,13.74,0.98,0,1.96,5.89,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,42.21,3.93,20.61,0.98,1.96,0,0,0,0,0,41.23,0,0,1.96,11.78,0,1.96,0,0,0.98,0,0,5.89,1.96,0
 84-94,0,75.4,1.06,43.54,1.06,1.06,1.06,0,0,0,1.06,19.12,1.06,1.06,1.06,3.19,0,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,75.41,1.09,42.62,0,2.19,1.09,0,0,1.09,0,43.71,0,0,2.19,9.84,0,1.09,0,0,0,1.09,1.09,3.28,2.19,0
108-118,0,85.02,1.53,41.36,0.77,0,0,0,0.77,0,0.77,32.17,1.53,0,1.53,16.85,0,0.77,0,0,0,0.77,0,0.77,3.06,0
120,0,70.55,1.96,39.2,0,1.96,0,0,0,0,0,29.4,0,0,1.96,9.8,0,0,1.96,0,0,0,0,1.96,5.88,0
