stage,endocrine_pancreas,eye,fast_muscle,gut,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,slow_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,7.85,1.96,0,5.89,0,0,0,1.96,0,0,0,0
 84-94,2.12,0,0,7.43,1.06,1.06,0,2.12,0,0,0,0
 96-106,5.46,5.46,1.09,33.88,0,0,0,6.56,0,0,1.09,1.09
108-118,4.6,2.3,0,19.15,0.77,0,0.77,3.83,0.77,0,0,0
120,7.84,1.96,0,17.64,0,0,0,0,0,0,0,0
