stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,9.85,0,0.82,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,20.95,0,0,11.28,0,0,0,0,0,0,20.14,1.61,0,0,0,0.81
 48-58,0,0,0,0,3.44,5.16,0,0,0.57,0,0,0,0,0,0,3.44,10.9,0.57,1.15,7.46,0,0,0.57,0,0,1.15,18.36,1.15,0,0,0,0
 60-70,0,0,0,0,6.87,25.52,0,0,6.87,0.98,0,0.98,0,0,0,9.82,24.54,0.98,5.89,11.78,0,0,1.96,0.98,0,0,20.61,6.87,0,0,0,0
 72-82,0,0,0.98,0.98,7.85,52.03,0,0,41.23,0,0,0,0,0,0.98,5.89,12.76,4.91,4.91,19.63,0,0.98,2.94,0,1.96,1.96,20.61,0.98,0,0,0,0
 84-94,0,1.06,0,1.06,10.62,124.26,0,1.06,16.99,0,0,1.06,0,2.12,0,11.68,19.12,4.25,8.5,18.05,1.06,0,1.06,0,0,3.19,35.05,0,0,1.06,0,2.12
 96-106,0,0,4.37,6.56,18.58,185.78,0,0,63.39,2.19,2.19,0,1.09,0,3.28,10.93,19.67,6.56,12.02,19.67,0,0,0,0,0,4.37,36.06,1.09,1.09,0,1.09,2.19
108-118,0,0,1.53,1.53,16.09,137.87,0.77,0,39.83,0.77,0.77,1.53,0.77,0.77,6.13,8.43,11.49,3.83,20.68,15.32,0,0,1.53,0,0.77,1.53,39.83,0,0,0.77,0.77,3.06
120,0,0,3.92,0,5.88,84.27,0,0,29.4,0,0,0,0,0,1.96,0,9.8,0,7.84,13.72,0,0,0,0,0,0,17.64,0,0,0,0,0
