stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,4,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,2.46,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,3.44,0,0,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,3.93,0,1.96,0,0.98,0,0,2.94,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,4.91,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,4.25,1.06,1.06,0,0,0,0,1.06,0,0,1.06,0,2.12,0
 96-106,0,1.09,0,1.09,1.09,0,0,0,2.19,0,0,0,1.09,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0.77,0,2.3,0.77,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0
