stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,8,0,1,0,1,0,0,2,125,0,0,0,0,0
 24-34,0,0,3.28,0,11.49,0,0.82,0,5.75,0.82,0,0,0.82,1.64,1.64,0,6.57,0,0,4.93,907.05,0,45.15,0,0,0,1.64,0,0,0,252.82,0,0,4.1,0,0.82
 36-46,0,0.81,4.03,0,126.49,0.81,0.81,2.42,7.25,0,0.81,2.42,0,0,0,4.83,12.89,0,0,4.03,2088.29,0.81,48.34,1.61,0,0,6.45,0,1.61,0,576.05,0,0,1.61,0,2.42
 48-58,0,0,3.44,2.3,397.07,0.57,0,1.15,41.31,0.57,0,0.57,0.57,0.57,1.15,2.87,28.69,0,0.57,4.59,1563.04,0,28.69,0.57,0,0,3.44,0.57,0.57,0,694.88,0,0,3.44,0,4.59
 60-70,0,1.96,8.83,1.96,460.33,0,0.98,1.96,20.61,0.98,0,0.98,0.98,1.96,0,2.94,15.7,0,0,3.93,1089.49,0,19.63,0,0,0,2.94,0,0,0,484.87,0,0.98,0.98,0,0.98
 72-82,0,3.93,10.8,0.98,408.37,0,0.98,0.98,14.72,0.98,0.98,1.96,0,0.98,0.98,0.98,24.54,0,0.98,1.96,807.91,0.98,18.65,1.96,0,0,1.96,0,0.98,0,255.23,1.96,0,0,0.98,1.96
 84-94,0,3.19,7.43,5.31,302.68,1.06,0,1.06,31.86,1.06,1.06,0,1.06,0,0,2.12,26.55,0,0,5.31,456.68,0,18.05,2.12,0,0,6.37,1.06,0,0,135.94,0,1.06,1.06,0,1.06
 96-106,0,1.09,14.21,2.19,189.06,0,0,1.09,19.67,1.09,0,0,1.09,2.19,0,1.09,12.02,1.09,0,1.09,320.2,0,15.3,1.09,0,1.09,4.37,0,1.09,0,63.39,0,0,1.09,0,1.09
108-118,0,0,7.66,0,195.32,0,0.77,0,18.38,0.77,0,0.77,0,0,0,2.3,8.43,0,0.77,1.53,379.15,0.77,12.26,1.53,0,0,2.3,0,0,0,44.43,0.77,0,0,0,2.3
120,0,1.96,11.76,3.92,201.86,0,0,0,13.72,0,0,0,0,0,1.96,1.96,5.88,0,0,5.88,366.48,0,11.76,0,0,1.96,0,0,0,0,48.99,0,0,1.96,0,0
