stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,0,1,0,0,0,0,23,1,0,0,16,0,0,0,1,1,0,0,17
 24-34,0,0,0,0,8.21,0,0,0,0,1.64,0,0,90.29,1.64,0,0.82,29.55,0,0,0.82,0,3.28,0,1.64,91.12
 36-46,0,0,0,0,1.61,0,0.81,0,0.81,5.64,0,0,76.54,0.81,0,0,10.47,0,0,0,0,0,0,2.42,63.65
 48-58,0,0,0,0,4.59,0,0.57,1.72,0,14.92,1.15,0,51.07,0.57,0,0,8.03,0,0,0,0,1.15,0,2.3,84.92
 60-70,0,0.98,0,0,0.98,0,0.98,1.96,0,47.11,0,0,35.33,2.94,0,0.98,4.91,0,0,0.98,0,0.98,0,2.94,83.43
 72-82,0,0,0,0,10.8,0,1.96,4.91,0.98,33.38,0,0,26.5,1.96,0,0,1.96,0,0.98,1.96,0,0,0.98,5.89,69.7
 84-94,0,0,0,0,8.5,0,2.12,5.31,1.06,53.1,0,0,63.72,6.37,2.12,0,3.19,0,0,1.06,0,0,1.06,1.06,71.16
 96-106,0,0,0,0,4.37,1.09,2.19,6.56,2.19,41.53,0,0,36.06,9.84,0,0,9.84,1.09,0,0,0,0,1.09,3.28,73.22
108-118,0,0,0,0.77,3.83,0,0.77,3.06,1.53,42.89,0,0.77,39.06,3.83,0,0,4.6,0,0.77,0,0,0,0,0.77,69.7
120,0,0,0,0,0,0,0,5.88,3.92,35.28,0,0,15.68,0,3.92,0,1.96,0,0,0,0,0,0,0,23.52
