stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,6.13,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,115.66,2.63,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,1,7,4,10,0,0,7,0,0,0,0,0,0,11,0,0,6,138,2,0,0,3,1,15,1,7,62,0,0
 24-34,0,0,0,0.82,0,22.98,0,0,4.1,0,0,0,0.82,0,0,13.13,0,0,1.64,149.4,0,0,1.64,0,2.46,0,0,0.82,32.83,0,3.28
 36-46,0,0,0,0.81,0,28.2,0,0,4.83,0.81,0,0.81,0,0,0,10.47,0,0.81,3.22,74.93,0,0.81,0.81,0,1.61,0.81,0,0,18.53,0,1.61
 48-58,0,0,0,0.57,0,26.97,1.15,0.57,5.16,0,0,0,0,0,0,9.75,0,0,1.15,35.58,0.57,0,0.57,0,1.15,0,0,0,6.89,0,1.72
 60-70,0,0,0,1.96,0,10.8,0,0,3.93,0,0,0,0,0,0,4.91,0,0.98,0,14.72,0,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0,8.83,0.98,0,7.85,0.98,0,0,0,0,0,5.89,0,0.98,1.96,18.65,0,0,0.98,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,4.25,0,5.31,0,0,6.37,0,0,0,0,1.06,1.06,7.43,0,0,1.06,16.99,0,0,0,0,1.06,0,1.06,0,4.25,0,3.19
 96-106,0,0,0,0,1.09,8.74,1.09,0,2.19,0,0,0,0,1.09,0,9.84,0,0,1.09,12.02,0,0,0,0,2.19,0,0,0,0,2.19,1.09
108-118,0,0,0,0,0,3.83,0.77,0,4.6,0.77,0,0,0,0,0,3.83,0.77,0,0.77,11.49,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0
