stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,3,3,0,0,0,0,0
 24-34,2.46,0,1.64,0,0,0.82,0,0,0,0,1.64,0,0,17.24,0,0,0.82,0,2.46,0,0,4.1,0,0,0,0
 36-46,2.42,0,1.61,0,0.81,1.61,0,0,0,0,2.42,0,3.22,8.06,1.61,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,1.15,0,3.44,0,0,0.57,0,0,0.57,0,2.3,0,0.57,6.31,0,0,0,0,0.57,0,0,1.15,0,0,0.57,0
 60-70,3.93,0,3.93,0,0,0.98,0,0,0,0,2.94,0,0,5.89,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0.98
 72-82,0.98,0,8.83,0,0,1.96,0,0,0,0,10.8,0.98,0.98,4.91,0,0.98,0.98,0,0,0,0,0,0,0,0,0
 84-94,2.12,1.06,2.12,1.06,0,0,0,0,0,0,10.62,0,1.06,4.25,0,0,0,0,3.19,0,0,0,1.06,0,0,0
 96-106,3.28,0,4.37,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,3.83,0,4.6,0.77,0,2.3,0,0,0,0,5.36,0,0.77,1.53,0,0,2.3,0,2.3,0,0,0,0,0,0,0
120,1.96,0,0,0,0,1.96,1.96,0,0,1.96,3.92,1.96,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0
