stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,28.92,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,78.67,0,0,0,6.29,31.47,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,0,0,1.64,1.64,0,1.64,0.82,0.82,2.46,0,21.34,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,2.42,1.61,0,0,0,2.42,0.81,0,7.25,0,0,1.61,0,20.14,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,2.3,0,1.15,0,0.57,0,0,0.57,0,0,0.57,0,1.72,0,0,5.16,0,0,6.89,0,6.31,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,4.91,0,6.87,0,2.94,0.98,0,2.94,0.98,0.98,0,0,3.93,1.96,0,9.82,0,0,7.85,0,10.8,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,5.89,0,2.94,0.98,0.98,0.98,0,2.94,0.98,0,0,0,2.94,0.98,0.98,8.83,0,0,13.74,0,3.93,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,9.56,0,5.31,1.06,0,1.06,0,12.74,1.06,1.06,0,0,1.06,4.25,0,3.19,0,1.06,11.68,0,25.49,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,4.37,0,3.28,0,0,1.09,0,15.3,0,1.09,0,1.09,3.28,3.28,0,2.19,0,0,10.93,0,10.93,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,9.19,0.77,6.89,0,0.77,1.53,0,9.96,0.77,3.06,0,0,1.53,0,0,6.13,0,0,9.96,0,1.53,0,0,0,2.3,0,0,2.3
120,0,0,0,0,9.8,0,1.96,0,0,5.88,0,7.84,0,0,1.96,0,1.96,0,0,1.96,0,0,9.8,0,3.92,0,0,0,1.96,0,0,0
