stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,441.33,6.13,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0
  7-9,7.89,2.63,13.14,0,18.4,0,7.89,0,181.38,5.26,0,57.83,0,0,0
 10-12,0,0,18.88,0,12.59,0,0,0,125.88,0,0,15.73,0,0,0
 14-21,0,0,1,6,1,0,0,0,24,0,1,1,0,3,0
 24-34,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,1.64
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
