stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,3,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0.82,0,0,21.34,0,0.82,0,3.28,0,0,0.82,1.64,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0.81,0.81,0,0.81,0,0,0.81,0,0,0,21.75,0,0,0,4.03,0,0,0,5.64,1.61,0
 48-58,0,0,0.57,0,4.02,0.57,1.15,0,0,0.57,0.57,0,0,0,0,4.02,0.57,0,0,11.48,0,0,0,1.15,0,0,0,4.02,1.72,0.57
 60-70,0,0,1.96,0,6.87,0,0,0,0.98,0,0.98,0,0,0,0,3.93,0,0,0,15.7,0,2.94,0,2.94,0,0,0,1.96,0.98,0
 72-82,0,0,0,0.98,4.91,0,0,2.94,0.98,0,3.93,0,0,0,0,7.85,0.98,0,0.98,13.74,0,3.93,0.98,2.94,0,0,0,0.98,5.89,0
 84-94,0,0,3.19,2.12,2.12,1.06,1.06,1.06,1.06,1.06,4.25,0,0,1.06,0,6.37,0,0,0,13.81,0,2.12,0,7.43,0,0,0,1.06,2.12,1.06
 96-106,0,0,2.19,0,4.37,0,0,2.19,0,2.19,5.46,0,0,0,1.09,1.09,1.09,2.19,1.09,3.28,0,2.19,1.09,6.56,0,0,0,0,3.28,0
108-118,0,0.77,3.06,0.77,4.6,0.77,0,0.77,1.53,0.77,3.83,0.77,0,0,1.53,3.83,0,0,0,7.66,0.77,3.83,0,3.83,0.77,0,0,0,3.83,1.53
120,0,0,7.84,0,5.88,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,9.8,1.96,3.92,1.96,5.88,0,0,0,0,3.92,1.96
